trial,tpr,fpr,eo_1,eo_2
0,0.6,0.53,0.58,1.08
1,0.55,0.58,0.57,0.98
2,0.62,0.69,0.62,0.5
3,0.49,0.57,0.52,0.42
4,0.6,0.49,0.54,0.53
5,0.63,0.62,0.63,0.91
6,0.64,0.63,0.64,0.58
7,0.65,0.62,0.62,0.62
8,0.63,0.56,0.6,0.7
9,0.62,0.54,0.58,0.6
