trial,tpr,fpr,eo_1,eo_2
0,0.67,0.76,0.76,0.24
1,0.58,0.75,0.58,0.0
2,0.57,0.97,0.68,1.0
3,0.81,0.82,0.82,1.23
4,0.82,0.9,0.89,1.0
5,0.49,0.92,0.56,1.24
6,0.81,0.72,0.76,0.57
7,0.73,0.88,0.77,0.76
8,0.46,0.66,0.65,1.63
9,0.71,0.73,0.75,1.02
