positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,thresholds,trial
0.032844249401909775,0.008507989484209721,0.05181494352961913,0.06032293301382885,0.9984239558707644,0.9899159663865547,0.9960098219766728,0.963165572574763,0.9944695827048768,0.9426546391752577,0.39226519337016574,0.46207148067104303,0.4241666666666667,0.0,0
0.02106378777437934,0.007876909629099815,0.0364935625320707,0.044370472161170516,0.9952718676122931,0.9873949579831933,0.9539594843462247,0.9328956965718453,0.9276018099547512,0.8911082474226805,0.43186003683241253,0.49015317286652077,0.4585,0.01,0
0.008261770722933548,0.004881763580136478,0.01992725453914057,0.02480901811927705,0.9897557131599685,0.984873949579832,0.9192756292203806,0.9110138584974471,0.8743086978381096,0.854381443298969,0.4622467771639042,0.5098468271334792,0.484,0.02,0
0.00579821694586502,0.0009939673268835048,0.020752670616224322,0.021746637943107827,0.9850275807722616,0.9840336134453781,0.8974831184775937,0.8916849015317286,0.8416289592760181,0.8208762886597938,0.4803560466543892,0.5284463894967177,0.5023333333333333,0.03,0
0.0064980596491651665,-0.0011608425876260542,0.02490696252066782,0.026067805108293873,0.9795114263199369,0.980672268907563,0.8821362799263351,0.87563822027717,0.8200100553041729,0.7951030927835051,0.4914057704112953,0.5415754923413567,0.5143333333333333,0.04,0
0.007754015364300981,-0.002632258577189739,0.02970558432201853,0.03233784289920827,0.9763593380614657,0.9789915966386554,0.8677102516881522,0.8599562363238512,0.7983911513323279,0.7686855670103093,0.5033763044812769,0.5557986870897156,0.5273333333333333,0.05,0
0.010584281344826363,-0.005470462416645172,0.03780392675177391,0.04327438916841908,0.9684791174152876,0.9739495798319328,0.852670349907919,0.8420860685630926,0.7787833081950729,0.740979381443299,0.5122774708410067,0.5692924872355944,0.5383333333333333,0.06,0
0.012703286842822847,-0.002004489739158122,0.04038642948588367,0.04239091922504179,0.966903073286052,0.9689075630252101,0.8394720687538367,0.8267687819110139,0.7581699346405228,0.7177835051546392,0.5242480049109883,0.5802334062727936,0.5498333333333333,0.07,0
0.01133046679911287,-0.0034235916588858384,0.040596670865015394,0.04402026252390123,0.9629629629629629,0.9663865546218487,0.8235113566605279,0.812180889861415,0.7345399698340875,0.6939432989690721,0.5371393492940454,0.5926331145149526,0.5625,0.08,0
0.00890318126194678,-0.0062617954983411606,0.03980138182685189,0.04606317732519305,0.9550827423167849,0.9613445378151261,0.805402087170043,0.7964989059080962,0.709904474610357,0.6701030927835051,0.549109883364027,0.6039387308533917,0.5741666666666667,0.09,0
