trial,tpr,fpr,eo_1,eo_2
0,0.86,0.8,0.8,1.01
1,0.4,0.76,0.72,1.59
2,0.67,0.84,0.82,-0.44
3,0.38,0.87,0.76,0.9
4,0.32,0.79,0.66,0.55
5,0.79,0.94,0.94,1.61
6,0.6,0.81,0.71,-0.41
7,0.53,0.78,0.73,1.0
8,0.56,0.78,0.74,1.58
9,0.45,0.89,0.8,0.0
