trial,tpr,fpr,eo_1,eo_2
0,0.7,0.7,0.7,0.8
1,0.69,0.73,0.73,0.6
2,0.71,0.71,0.71,0.71
3,0.67,0.7,0.7,0.62
4,0.75,0.72,0.73,0.61
5,0.64,0.72,0.69,0.29
6,0.71,0.76,0.73,0.85
7,0.72,0.71,0.71,0.73
8,0.67,0.72,0.7,0.58
9,0.69,0.7,0.69,1.0
