trial,tpr,fpr,eo_1,eo_2
0,0.52,0.75,0.75,1.04
1,0.19,0.81,0.79,0.84
2,0.47,0.87,0.82,0.92
3,0.3,0.73,0.61,1.0
4,0.17,0.72,0.68,1.59
5,0.33,0.96,0.93,0.85
6,0.54,0.66,0.58,0.64
7,0.52,0.69,0.69,1.58
8,0.47,0.86,0.54,-0.23
9,0.13,0.91,0.86,0.11
