trial,tpr,fpr,eo_1,eo_2
0,0.46,0.62,0.6,-0.03
1,0.07,0.99,0.77,1.04
2,0.26,0.75,0.44,0.92
3,0.3,0.8,0.5,0.04
4,-0.36,0.79,0.39,1.22
5,0.46,1.11,0.72,0.96
6,0.51,0.69,0.6,0.0
7,0.55,0.72,0.55,1.48
8,0.37,0.84,0.49,1.04
9,-0.14,0.93,0.22,-0.01
