positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,thresholds,trial
0.0003583826376744037,0.00111358574610243,0.0003766471778379188,0.001490232923940349,1.0,0.9988864142538976,0.9967304997664642,0.9963721171287898,0.9959862385321101,0.9956095913542722,0.18869687062120505,0.23581238662866028,0.219,0.0,0
0.0015934168946246663,0.0033407572383074013,0.0018053890174718479,0.005146146255779249,1.0,0.9966592427616926,0.9901914992993928,0.9885980824047681,0.9879587155963303,0.9861533265788585,0.1952358710882765,0.24254988338947914,0.22566666666666665,0.01,0
0.0044825062432530816,0.0055679287305122616,0.005637120486817859,0.01120504921733012,1.0,0.9944320712694877,0.9803829985987856,0.9759004923555326,0.9759174311926605,0.9702803107058426,0.2050443717888837,0.25421093547551177,0.23666666666666666,0.02,0
-8.593437107351498e-06,0.008616965773367125,0.0005764928783668077,0.009193458651733932,0.9974811083123426,0.9888641425389755,0.9551611396543671,0.9551697330914745,0.9455275229357798,0.944951030057413,0.22933208780943484,0.2723503498315626,0.257,0.03,0
0.00447391280614573,0.00885539093311194,0.007258349367465056,0.016113740300576995,0.9899244332493703,0.9810690423162584,0.9355441382531527,0.931070225447007,0.9231651376146789,0.9159067882472138,0.24614666043904718,0.2928219746048199,0.27616666666666667,0.04,0
0.005888562002072328,0.012726293526616583,0.009596079306210092,0.022322372832826676,0.9848866498740554,0.9721603563474388,0.9084539934609995,0.9025654314589272,0.8910550458715596,0.8814589665653495,0.2713685193834657,0.31718061674008813,0.30083333333333334,0.05,0
0.01336884641821312,0.01882436761232631,0.019057572602858563,0.03788194021518487,0.9798488664987406,0.9610244988864143,0.8827650630546474,0.8693962166364343,0.8606651376146789,0.8416075650118203,0.29518916394208317,0.3451671417465665,0.3273333333333333,0.06,0
0.018564971044353062,0.011506117709098818,0.02906089561857672,0.04056701332767554,0.964735516372796,0.9532293986636972,0.8542737038766931,0.83570873283234,0.8291284403669725,0.8000675447483958,0.31807566557683326,0.3752267426794506,0.35483333333333333,0.07,0
0.011463645101214337,0.013096553774690989,0.021148012852092446,0.034244566626783435,0.9496221662468514,0.9365256124721604,0.8150397010742644,0.80357605597305,0.7844036697247706,0.7632556568726782,0.3517048108360579,0.39958538481471884,0.3825,0.08,0
0.013233530042353614,0.001854106242251241,0.027813021883878797,0.029667128126130038,0.929471032745592,0.9276169265033407,0.7823446987389071,0.7691111686965535,0.7488532110091743,0.7210401891252955,0.3769266697804764,0.42990412023840374,0.411,0.09,0
0.01660941944796479,-0.015009565056408603,0.03754910936981981,0.05255867442622841,0.8992443324937027,0.9142538975501113,0.749182624941616,0.7325732054936512,0.7150229357798165,0.6774738264099966,0.3988790284913592,0.46022285566208865,0.43833333333333335,0.1,0
0.015727321284043527,-0.01148367769406411,0.03696409593832972,0.04844777363239383,0.8816120906801007,0.8930957683741648,0.7099486221391873,0.6942213008551438,0.6708715596330275,0.6339074636946977,0.43157403082671647,0.48872764965016846,0.4683333333333333,0.11,0
0.014998815679125421,0.0007124704773552315,0.03462733424425801,0.035339804721613244,0.871536523929471,0.8708240534521158,0.6693134049509575,0.6543145892718321,0.6232798165137615,0.5886524822695035,0.46847267631947687,0.5182689816014512,0.5005,0.12,0
0.016663158688467128,-0.005253768520024904,0.03947010680126051,0.04472387532128541,0.8488664987405542,0.8541202672605791,0.6352171882297991,0.618554029541332,0.5865825688073395,0.547112462006079,0.49416160672582904,0.5462555066079295,0.5276666666666666,0.13,0
0.01832435480534722,-0.006182224142090131,0.043338631568184516,0.04952085571027465,0.8312342569269522,0.8374164810690423,0.5987856141989725,0.5804612593936253,0.5458715596330275,0.502532928064843,0.5240541802895843,0.5765742420316144,0.5578333333333333,0.14,0
0.012208369305743427,-0.018591552456340144,0.039777234011569296,0.05836878646790944,0.801007556675063,0.8195991091314031,0.5600186828584773,0.5478103135527339,0.5051605504587156,0.46538331644714626,0.5516113965436712,0.6009328841668826,0.5833333333333334,0.15,0
0.01060635897401141,-0.017876276977105476,0.03840736144806023,0.056283638425165705,0.7783375314861462,0.7962138084632516,0.5249883232134517,0.5143819642394403,0.4673165137614679,0.42890915231340765,0.5782344698738907,0.6234775848665457,0.6073333333333333,0.16,0
0.01653183644534778,-0.017399426657615846,0.046785195306569494,0.06418462196418534,0.7632241813602015,0.7806236080178174,0.4992993928070995,0.4827675563617517,0.43922018348623854,0.39243498817966904,0.5983185427370388,0.647836227001814,0.6301666666666667,0.17,0
