trial,tpr,fpr,eo_1,eo_2
0,0.8,0.74,0.8,1.27
1,0.54,0.85,0.69,0.37
2,0.47,0.85,0.72,1.05
3,0.67,0.87,0.74,1.03
4,0.64,0.83,0.78,1.83
5,0.42,0.87,0.48,-0.23
6,0.79,0.74,0.78,1.63
7,0.58,0.87,0.74,0.71
8,0.74,0.67,0.65,1.57
9,0.7,0.68,0.7,0.58
