trial,tpr,fpr,eo_1,eo_2
0,0.8,0.67,0.72,0.76
1,0.76,0.76,0.76,0.59
2,0.84,0.68,0.78,0.63
3,0.79,0.69,0.72,0.9
4,0.91,0.7,0.87,0.58
5,0.91,0.71,0.78,0.98
6,0.86,0.7,0.8,0.85
7,0.78,0.72,0.77,1.0
8,0.88,0.77,0.82,0.85
9,0.88,0.67,0.83,0.91
