trial,tpr,fpr,eo_1,eo_2
0,0.83,0.77,0.84,0.65
1,0.7,0.9,0.74,0.76
2,0.73,0.93,0.78,0.98
3,0.77,0.98,0.8,0.61
4,0.78,0.9,0.79,1.0
5,0.55,1.01,0.56,0.39
6,0.84,0.72,0.71,0.99
7,0.77,0.9,0.82,0.47
8,0.73,0.85,0.74,0.38
9,0.67,0.94,0.69,0.32
