trial,tpr,fpr,eo_1,eo_2
0,0.51,0.46,0.5,0.14
1,0.42,0.52,0.43,0.51
2,0.45,0.58,0.47,0.76
3,0.4,0.4,0.4,0.24
4,0.46,0.39,0.43,1.0
5,0.53,0.48,0.52,0.22
6,0.53,0.53,0.53,0.38
7,0.5,0.53,0.51,0.91
8,0.5,0.34,0.5,0.13
9,0.48,0.5,0.5,0.36
