trial,tpr,fpr,eo_1,eo_2
0,0.67,0.49,0.55,0.3
1,0.58,0.42,0.47,0.4
2,0.61,0.63,0.63,0.62
3,0.48,0.57,0.56,0.07
4,0.57,0.42,0.57,0.91
5,0.66,0.55,0.59,0.97
6,0.66,0.55,0.64,0.38
7,0.66,0.49,0.55,0.52
8,0.6,0.49,0.59,0.08
9,0.6,0.52,0.55,0.86
