trial,tpr,fpr,eo_1,eo_2
0,1.08,0.78,0.9,1.26
1,0.9,0.9,0.9,0.4
2,0.71,0.87,0.85,0.98
3,0.85,0.89,0.85,0.56
4,0.9,0.9,0.9,0.02
5,0.68,0.88,0.76,1.0
6,0.91,0.79,0.89,1.6
7,0.85,0.85,0.85,0.76
8,0.81,0.85,0.81,0.1
9,0.73,0.82,0.76,1.05
