trial,tpr,fpr,eo_1,eo_2
0,0.62,0.39,0.49,0.72
1,0.47,0.58,0.49,0.02
2,0.47,0.5,0.49,-0.04
3,0.47,0.56,0.5,0.55
4,0.52,0.38,0.41,0.71
5,0.57,0.58,0.58,0.42
6,0.62,0.58,0.59,0.51
7,0.6,0.5,0.56,1.23
8,0.51,0.39,0.43,0.99
9,0.58,0.49,0.51,0.78
