trial,tpr,fpr,eo_1,eo_2
0,0.5,0.68,0.61,0.0
1,0.43,0.93,0.77,0.99
2,0.52,0.94,0.75,1.76
3,0.36,0.87,0.51,0.61
4,0.09,0.92,0.54,0.62
5,0.35,0.97,0.94,1.61
6,0.4,0.77,0.63,0.19
7,0.29,0.89,0.65,-0.05
8,0.43,0.86,0.6,0.02
9,-0.52,1.0,0.93,-0.59
