trial,tpr,fpr,eo_1,eo_2
0,0.67,0.64,0.68,0.7
1,0.62,0.68,0.65,0.76
2,0.62,0.64,0.64,0.47
3,0.73,0.64,0.67,0.75
4,0.72,0.65,0.65,0.53
5,0.62,0.67,0.66,0.62
6,0.67,0.63,0.66,0.67
7,0.64,0.63,0.64,0.76
8,0.59,0.73,0.66,0.61
9,0.79,0.67,0.7,0.68
