trial,tpr,fpr,eo_1,eo_2
0,1.34,0.53,1.21,1.19
1,2.61,1.42,1.05,0.78
2,1.07,1.08,1.07,1.0
3,3.7,1.36,2.88,2.41
4,0.96,0.07,0.96,2.93
5,1.13,0.81,0.83,0.48
6,1.08,3.8,1.08,1.0
7,1.16,1.38,1.3,2.59
8,1.0,1.46,1.0,1.76
9,0.15,0.9,0.42,1.95
