trial,tpr,fpr,eo_1,eo_2
0,0.67,0.84,0.8,0.8
1,0.56,0.85,0.62,0.56
2,0.58,0.82,0.7,0.02
3,0.76,0.84,0.84,0.57
4,0.79,0.9,0.88,0.59
5,0.49,0.9,0.56,0.6
6,0.8,0.74,0.81,0.63
7,0.71,0.88,0.77,0.61
8,0.56,0.73,0.55,1.93
9,0.69,0.71,0.71,1.64
