auc_roc_A,auc_roc_B,auc_roc_overall,trial,lambda
0.8237735079167305,0.8288792068338535,0.8256692203695359,0,orig
0.823318104648028,0.8286962388646838,0.8231410545290672,0,full
0.8234856930509106,0.8287534163550494,0.8256534474988735,0,tpr
0.8233836827187211,0.8286504968723912,0.8245132942767011,0,fpr
0.8234346878848158,0.8286962388646837,0.8253154574132493,0,eo_1
0.8234346878848158,0.8287191098608301,0.8247498873366381,0,eo_2
0.8174181528247851,0.8130378201700847,0.8172065855945179,1,orig
0.8179347826086957,0.8127351781048554,0.8124638873713154,1,full
0.8177557927623016,0.8128259707244243,0.8141927970340994,1,tpr
0.8177313850559751,0.8128158826555831,0.8148200607479051,1,fpr
0.8177639286644104,0.8128663229997882,0.8146874135826201,1,eo_1
0.818064957042437,0.812422447970785,0.8077290580477485,1,eo_2
0.8173544854965742,0.8230800264823934,0.8222608128765398,2,orig
0.8168422232182877,0.823561054330285,0.8194631777717831,2,full
0.8171223666517257,0.823374850002069,0.8212053772142793,2,tpr
0.8167061535506179,0.8235403649604832,0.8186966100170847,2,fpr
0.8171383748479221,0.8233541606322671,0.8208749213200252,2,eo_1
0.8171063584555293,0.8233955393718707,0.8212233612085245,2,eo_2
0.8097083868894601,0.8221618852459015,0.8166460284582132,3,orig
0.8095035347043701,0.8215676229508198,0.8152490093659942,3,full
0.8095035347043701,0.8220286885245901,0.8161023054755042,3,tpr
0.8095035347043702,0.8222131147540983,0.8167349603746397,3,fpr
0.809736503856041,0.8221516393442623,0.8165796109510087,3,eo_1
0.8095196015424164,0.821844262295082,0.8157938580691643,3,eo_2
0.8199343417553191,0.78866141577431,0.8067342498914484,4,orig
0.8202626329787234,0.7886269998131704,0.8037611729424126,4,full
0.820096409574468,0.7885778341543999,0.8044361052804456,4,tpr
0.8202709441489362,0.7887056648672036,0.8031244867702012,4,fpr
0.8202792553191489,0.7886171666814165,0.8039636526438225,4,eo_1
0.8202958776595746,0.7886269998131705,0.8035856905345238,4,eo_2
0.8146748216106015,0.828894196370086,0.8230667044289799,5,orig
0.8145973496432212,0.828259314125626,0.8203435471399545,5,full
0.8146870540265037,0.8284003990688393,0.8217641293988598,5,tpr
0.8145484199796127,0.8281383841743003,0.81994794195393,5,fpr
0.8146870540265035,0.8282895466134574,0.8213033392674112,5,eo_1
0.8145891946992865,0.8282492366296822,0.8203030875186564,5,eo_2
0.797702317069388,0.8001694729936585,0.8007018325001742,6,orig
0.7975821210335308,0.8005576208178438,0.7981708729393087,6,full
0.7977061943608672,0.8005466870763176,0.7992007969543033,6,tpr
0.797512329786904,0.8005794883008965,0.7980696795317219,6,fpr
0.7975588572846551,0.8005794883008965,0.7985891390240009,6,eo_1
0.7976751760290332,0.8001968073474743,0.8006085096909553,6,eo_2
0.8098199799119215,0.8000872249060655,0.8064045133991536,7,orig
0.8097298410981484,0.7996606855302507,0.8038273624823696,7,full
0.809738425747079,0.7997373667663523,0.8052739069111423,7,tpr
0.8096697485556329,0.7997469519208649,0.8054679830747531,7,fpr
0.809738425747079,0.7997373667663523,0.8052739069111423,7,eo_1
0.8097212564492174,0.7997086113028141,0.8029133991537376,7,eo_2
0.8346647338227129,0.8134766251255852,0.8252820985434275,8,orig
0.8336854604897909,0.8133644000769543,0.8241076245279625,8,full
0.8342714823268151,0.8133857762766936,0.8249572918539831,8,tpr
0.8336700388625007,0.8134178405763023,0.8240963855421687,8,fpr
0.8340247362901734,0.8134499048759112,0.8249572918539831,8,eo_1
0.8330531737708964,0.8134819691755201,0.8226712821434994,8,eo_2
0.8335092642654239,0.8266156656770952,0.8298886229025478,9,orig
0.8335950842322974,0.8265109994671538,0.8301089045483663,9,full
0.8335178462621113,0.8265966354571058,0.8300549580228598,9,tpr
0.8335865022356103,0.8264919692471645,0.8301718421614573,9,fpr
0.8335865022356101,0.8264919692471645,0.8302302842307561,9,eo_1
0.8335607562455482,0.826415848367207,0.8296548546253526,9,eo_2
