trial,tpr,fpr,eo_1,eo_2
0,0.24,1.02,0.48,-1.0
1,1.74,0.96,1.74,1.58
2,0.9,0.76,0.91,1.09
3,2.33,0.77,1.85,2.13
4,1.0,1.0,1.0,1.0
5,3.12,0.98,0.99,1.18
6,0.94,0.41,0.95,1.17
7,1.09,1.04,1.05,0.85
8,0.88,1.35,1.21,2.38
9,3.25,0.48,2.87,2.48
