trial,tpr,fpr,eo_1,eo_2
0,0.31,0.71,0.61,-0.0
1,0.62,0.69,0.65,0.98
2,0.58,0.82,0.84,1.02
3,1.04,-0.13,0.33,0.61
4,0.49,1.0,0.86,1.61
5,0.35,0.98,0.86,1.23
6,0.44,0.9,0.85,1.61
7,0.56,0.58,0.59,0.8
8,0.51,0.85,0.84,1.62
9,0.87,0.6,0.65,1.0
