trial,tpr,fpr,eo_1,eo_2
0,0.96,1.0,1.0,2.61
1,0.91,0.85,0.84,1.21
2,1.18,0.81,1.18,3.68
3,2.01,1.53,1.7,1.53
4,1.33,1.0,1.3,0.76
5,0.67,0.71,0.72,0.98
6,4.21,0.98,3.48,1.72
7,0.85,1.22,1.14,1.52
8,1.13,0.46,1.09,0.93
9,1.1,0.88,1.12,0.67
