trial,tpr,fpr,eo_1,eo_2
0,0.85,0.71,0.8,0.63
1,0.71,0.93,0.72,1.0
2,0.76,0.85,0.76,0.76
3,0.76,0.98,0.76,0.73
4,0.76,0.91,0.78,0.99
5,0.55,0.96,0.55,0.47
6,0.82,0.71,0.76,1.0
7,0.78,0.92,0.78,0.98
8,0.66,0.81,0.68,0.7
9,0.69,0.94,0.69,0.45
