trial,tpr,fpr,eo_1,eo_2
0,0.43,0.77,0.51,0.73
1,0.74,0.64,0.66,1.57
2,0.41,1.23,0.54,0.39
3,0.37,-0.18,0.06,0.61
4,0.81,1.15,0.96,1.04
5,0.68,1.05,0.81,1.01
6,0.69,1.03,0.88,0.06
7,0.56,0.48,0.56,1.18
8,0.37,1.01,0.61,1.61
9,0.46,0.93,0.79,1.37
