trial,tpr,fpr,eo_1,eo_2
0,0.75,0.76,0.75,-0.6
1,0.53,0.85,0.7,0.62
2,0.53,0.8,0.67,0.53
3,0.62,0.87,0.76,0.09
4,0.63,0.84,0.76,0.57
5,0.42,0.83,0.49,0.76
6,0.79,0.76,0.77,1.31
7,0.59,0.9,0.71,0.55
8,0.66,0.68,0.67,0.52
9,0.71,0.75,0.71,0.6
