trial,tpr,fpr,eo_1,eo_2
0,0.97,0.8,0.89,0.98
1,0.87,0.9,0.87,0.4
2,0.73,0.9,0.77,0.43
3,0.87,0.92,0.87,0.97
4,0.78,0.89,0.89,0.02
5,0.67,0.87,0.76,1.0
6,0.92,0.82,0.89,1.13
7,0.91,0.85,0.92,0.53
8,0.82,0.86,0.86,0.53
9,0.74,0.85,0.8,0.63
