trial,tpr,fpr,eo_1,eo_2
0,0.68,0.85,0.71,0.38
1,0.73,0.65,0.65,1.24
2,0.52,0.72,0.61,0.23
3,0.67,0.75,0.73,0.33
4,0.62,0.7,0.65,0.77
5,0.78,0.73,0.77,0.85
6,0.42,0.78,0.58,0.39
7,0.55,0.77,0.62,0.6
8,0.71,0.78,0.75,1.01
9,0.35,0.74,0.45,0.19
