trial,tpr,fpr,eo_1,eo_2
0,0.91,0.67,0.88,0.76
1,0.83,0.83,0.83,0.76
2,0.76,0.79,0.76,1.0
3,0.87,0.76,0.88,0.85
4,0.67,0.67,0.67,1.09
5,0.92,0.93,0.9,0.99
6,0.7,0.77,0.73,0.44
7,0.82,0.91,0.82,0.38
8,0.88,0.94,0.88,0.65
9,0.82,0.8,0.82,0.61
