trial,tpr,fpr,eo_1,eo_2
0,1.0,0.99,1.0,-0.98
1,-0.22,0.99,-0.07,1.9
2,4.95,0.85,1.81,0.99
3,1.52,0.79,1.25,0.99
4,0.66,1.1,0.77,0.8
5,0.73,0.94,0.82,0.98
6,0.41,0.84,0.43,1.36
7,2.63,0.44,2.32,1.28
8,0.8,1.0,0.85,1.03
9,1.53,1.0,1.17,0.97
