trial,tpr,fpr,eo_1,eo_2
0,0.77,0.79,0.78,1.12
1,0.8,0.85,0.82,0.46
2,0.71,0.8,0.77,0.65
3,0.79,0.86,0.83,0.85
4,0.8,0.83,0.81,0.61
5,0.78,0.82,0.8,0.87
6,0.8,0.82,0.8,0.87
7,0.89,0.84,0.87,0.94
8,0.89,0.83,0.85,0.93
9,0.91,0.83,0.91,0.98
