trial,tpr,fpr,eo_1,eo_2
0,0.47,0.84,0.58,0.38
1,0.57,0.85,0.76,1.24
2,-0.04,1.22,0.76,0.98
3,-0.22,0.34,0.25,2.51
4,0.88,1.06,0.93,1.99
5,0.59,0.97,0.68,1.32
6,0.42,1.57,0.68,0.02
7,-0.6,0.7,-0.01,0.62
8,0.38,0.93,0.9,0.42
9,1.12,0.69,0.71,0.04
