trial,tpr,fpr,eo_1,eo_2
0,-0.03,0.67,0.35,-1.0
1,0.6,0.76,0.74,0.15
2,-0.85,0.85,0.37,2.87
3,1.69,-0.48,0.6,1.94
4,0.5,1.6,0.58,0.37
5,0.5,1.0,0.79,0.21
6,0.88,0.6,0.85,1.45
7,0.53,0.61,0.59,1.4
8,0.23,0.94,0.48,-0.14
9,0.71,1.38,1.23,0.94
