trial,metric,soln,asian,black,hispanic,white
0,tpr,lexi,6.559589477390051,2.365730250198527,2.365730250198527,2.9033291252862226
0,tpr,unconst,26.933087042479873,34.69258996645648,26.933087042479873,31.751652494306672
0,tpr,maxmin,2.4595789158258254,2.202226528930221,2.202226528930221,6.349325160079171
0,tpr,fullrep,27.262709786940764,42.67853152929855,23.833867786608483,23.833867786608483
0,fpr,lexi,5.177902677971111,1.8020396612303375,1.8020396612303375,2.0302522354559605
0,fpr,unconst,16.449986894159768,20.850510095578255,12.176453076899715,12.176453076899715
0,fpr,maxmin,2.665825840418271,2.665825840418271,7.983000999340745,2.680300179674055
0,fpr,fullrep,33.62851151639244,48.607636807403274,33.28826494420671,33.28826494420671
1,tpr,lexi,2.6373842797742695,0.9825889235346804,1.2929684588702368,0.9825889235346804
1,tpr,unconst,27.033251345612666,27.033251345612666,30.284212884074204,27.890153925368633
1,tpr,maxmin,0.9420578546332078,0.5679677447642771,0.5679677447642771,1.329811092721729
1,tpr,fullrep,30.915043182315383,52.56252675872562,26.412526758725615,26.412526758725615
1,fpr,lexi,5.236562613687457,1.8150008441081649,1.8150008441081649,2.0234384259145086
1,fpr,unconst,31.142099542645344,20.80230213503395,15.399730147334765,15.399730147334765
1,fpr,maxmin,2.463072886586633,2.463072886586633,2.4630730604674467,7.389216428979931
1,fpr,fullrep,30.69658280735653,53.76596124366257,30.69658280735653,35.40892340793243
2,tpr,lexi,2.5982047479938215,0.8661328823368873,0.8661328823368873,0.8663240844204435
2,tpr,unconst,26.248856901415895,33.86724206235424,26.248856901415895,34.64531187195912
2,tpr,maxmin,1.4455429444948915,0.48184847825405336,0.481848440422797,0.481848440422797
2,tpr,fullrep,23.82591765290646,36.898080476750025,22.01892062950508,22.01892062950508
2,fpr,lexi,9.881187636043647,3.5061826665983267,3.5061826665983267,4.143540342262148
2,fpr,unconst,22.462068415598228,20.645258700206117,13.118226204074704,13.118226204074704
2,fpr,maxmin,4.376081019336708,4.376080985181118,4.376080985181118,13.128240814012008
2,fpr,fullrep,30.41608617899726,48.813657896649914,30.41608617899726,38.40456265049903
3,tpr,lexi,5.263389830529927,1.8188896645432588,1.8188896645432588,2.0121666576222266
