positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,adjust_weight,trial,abs_fpr,abs_pos,abs_tpr,thresholds
0.06326246097048555,0.028514544160749423,0.018755482042932942,0.05120104651108639,0.6838134978229318,0.6552989536621824,0.37317159121713206,0.3099091302466465,0.18794244915620936,0.16918696711327644,0.7766820276497697,0.7942146257031587,0.7834350000000001,0.0,0,0.020347157401634192,0.06330324086754228,0.030853889109452196,0.5099999999999999
0.05386249881088937,0.018741677351331303,0.00960383823381371,0.04755981456904123,0.6839658925979681,0.6652242152466369,0.37383437245866086,0.3199718736477716,0.18890956295975767,0.17930572472594394,0.7761330984006506,0.7898983124188663,0.7814349999999999,0.01,0,0.020339687698140176,0.05756030858344928,0.027220126870901057,0.5099999999999999
0.05385978804916532,0.018741677351331303,0.009599511102701635,0.047555487437929166,0.6839658925979681,0.6652242152466369,0.3738316616969368,0.3199718736477716,0.18890523582864557,0.17930572472594394,0.7761358091623746,0.7898983124188663,0.7814366666666667,0.02,0,0.020335360567028102,0.057557597821725225,0.027220126870901057,0.5099999999999999
0.05385436652571724,0.018741677351331303,0.009590856840477491,0.04754683317570502,0.6839658925979681,0.6652242152466369,0.37382624017348876,0.3199718736477716,0.18889658156642145,0.17930572472594394,0.7761412306858227,0.7898983124188663,0.78144,0.03,0,0.02032670630480396,0.05755217629827714,0.027220126870901057,0.5099999999999999
0.05385003939460517,0.018726729668222183,0.009590856840477491,0.04753188549259589,0.6839658925979681,0.6652391629297459,0.37382624017348876,0.3199762007788836,0.18889658156642145,0.17930572472594394,0.7761412306858227,0.7899026395499784,0.7814416666666668,0.04,0,0.02032670630480396,0.05754784916716507,0.027205179187791938,0.5099999999999999
0.053834347239544895,0.0186895774079546,0.009584766706494545,0.047488643098345364,0.6839586357039188,0.6652690582959642,0.3738235294117647,0.31998918217221983,0.18889658156642145,0.17931181485992692,0.7761385199240987,0.7899069666810905,0.7814416666666667,0.05,0,0.02032061617082101,0.0575321570121048,0.027168026927524354,0.5099999999999999
0.053819177061536654,0.01866780672580656,0.009574349441399522,0.0474564551511023,0.6839368650217708,0.6652690582959642,0.3738126863648685,0.3199935093033319,0.18889225443530935,0.1793179049939099,0.7761330984006506,0.7899026395499783,0.7814366666666667,0.06,0,0.020310198905725992,0.057516986834096555,0.027146256245376314,0.5099999999999999
0.053808334014640476,0.018660549831757214,0.009561368048063304,0.04743621686371673,0.6839296081277213,0.6652690582959642,0.37380184331797234,0.3199935093033319,0.18887927304197316,0.1793179049939099,0.7761385199240988,0.7899026395499783,0.78144,0.07,0,0.020297217512389776,0.057506143787200384,0.027138999351326968,0.5099999999999999
0.05299426095028681,0.017719279690893194,0.008799300174824531,0.04573287884961394,0.6839150943396227,0.6661958146487293,0.3737882895093521,0.3207940285590653,0.1888662916486369,0.18006699147381242,0.7761412306858227,0.789638684552142,0.78134,0.08,0,0.019535149639151,0.05669207072284671,0.026197729210462952,0.5099999999999999
0.05195246630638131,0.01648674667690659,0.007836257880148483,0.04355181732904999,0.6838933236574747,0.6674065769805679,0.37377202493900774,0.32181955863262657,0.1888533102553007,0.18101705237515223,0.7761412306858227,0.7893141497187365,0.781215,0.09,0,0.01857210734447495,0.05565027607894121,0.02497970998457504,0.5099999999999999
0.051300685877846364,0.015657367211855754,0.0072576951517684596,0.042143875135619124,0.6838860667634253,0.6682286995515695,0.3737693141772838,0.3224686282994375,0.1888533102553007,0.18159561510353225,0.7761385199240988,0.7891410644742536,0.7811466666666667,0.1,0,0.01799354461609493,0.05499849565040627,0.0241503305195242,0.5099999999999999
0.05088257052936334,0.014999669155054554,0.00693668105354311,0.04116516298059259,0.6838860667634253,0.6688863976083707,0.3737666034155597,0.3228840328861965,0.18884898312418863,0.18191230207064554,0.7761412306858227,0.7891064474253571,0.7811350000000001,0.11,0,0.01767253051786958,0.05458038030192325,0.023492632462723005,0.5099999999999999
0.049847193270742246,0.013442669452272635,0.006193692613465969,0.03886517483773352,0.6827177068214805,0.6692750373692077,0.37302114394144753,0.32317395067070537,0.18835569017741235,0.1821619975639464,0.7760138248847926,0.7890415404586759,0.7810316666666667,0.12,0,0.016929542077792438,0.053545003043302154,0.021935632759941082,0.5099999999999999
0.048923479219858984,0.012132838042178936,0.005482757094044213,0.036844407908218066,0.6817815674891148,0.6696487294469357,0.372378693412849,0.3234552141929901,0.1878883600173085,0.18240560292326433,0.7759568988885878,0.7889766334919948,0.7809716666666667,0.13,0,0.01621860655837068,0.052621288992418885,0.020625801349847383,0.5099999999999999
0.04832224493767303,0.01125246506602798,0.005030809068106725,0.035551616859038314,0.6812300435413643,0.6699775784753362,0.372015451341827,0.32369320640415405,0.18763738641280828,0.1826065773447016,0.775908105177555,0.7889290350497621,0.7809233333333334,0.14,0,0.015776293119123656,0.05202005471023293,0.01977532373991466,0.5099999999999999
0.047771218982979924,0.010411413825196718,0.004638160131258069,0.03439511533835721,0.6806132075471699,0.6702017937219731,0.3716115478449444,0.3238403288619645,0.18736045002163565,0.18272228989037756,0.77585117918135,0.7889117265253138,0.7808816666666667,0.15,0,0.015430947473055574,0.05146902875553983,0.018964167865301636,0.5099999999999999
0.04631629416468367,0.008653032600701606,0.0033537875046578585,0.03193972682475346,0.6799310595065313,0.6712780269058297,0.37117782596909726,0.3248615318044137,0.18707485936823884,0.18372107186358097,0.7757752778530767,0.788513630463003,0.7806816666666667,0.16,0,0.014498226719533913,0.050014103937243565,0.017441500105219547,0.5099999999999999
