positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,adjust_weight,trial,abs_fpr,abs_pos,abs_tpr,thresholds
0.20085773315774544,0.11244458518049401,0.11456852920423458,0.22701311438472854,0.612444585180494,0.49999999999999994,0.3195007892659827,0.11864305610823717,0.1869246202350244,0.07235609103078984,0.7643350434096291,0.899192200557103,0.8090383854372771,0.0,0,0.11456852920423458,0.20085773315774544,0.11244458518049401,0.5099999999999999
0.18983658456688204,0.10276744635472936,0.103405278705344,0.21268468168713892,0.612197593413553,0.5094301470588235,0.31931728492501976,0.1294807003581377,0.1867698480940098,0.0833645693886658,0.764364640883978,0.8903959411062475,0.8061423295079804,0.01,0,0.1098565351498667,0.19421305344803708,0.1028281465372723,0.5099999999999999
0.1893632833025175,0.1021352051745334,0.10299938264570656,0.2116465444473056,0.6117859404686511,0.5096507352941176,0.31905090765588007,0.12968762435336254,0.18656921754084269,0.08356983489513613,0.7643745067087611,0.8902367688022284,0.8060961614562723,0.02,0,0.10945063909022927,0.19373975218367254,0.10219590535707634,0.5099999999999999
0.18868128274409535,0.10110488535186081,0.10239718019877353,0.21001402217769993,0.6113806206459785,0.5102757352941176,0.3187588792423047,0.13007759649820932,0.18632846087704216,0.08393128067826865,0.7644139700078929,0.8899820931157977,0.806038121619839,0.03,0,0.10884843664329623,0.19305775162525038,0.10116558553440375,0.5099999999999999
0.18643229241095477,0.0971678486942592,0.1004426111822853,0.20412241650361007,0.6107156428119064,0.513547794117647,0.3183642462509865,0.13193195384003184,0.1860561765548868,0.0856135653726015,0.764394238358327,0.8888360525268603,0.8056450336367234,0.04,0,0.106893867626808,0.19080876129210977,0.09722854887680214,0.5099999999999999
0.18523916518083863,0.09511074814663042,0.09941903085735511,0.2010417356310511,0.6102026599113363,0.5150919117647059,0.31804656669297554,0.1328074015121369,0.1858268844941244,0.0864078536367693,0.7643922651933704,0.8882948666931954,0.8054643186914656,0.05,0,0.10587028730187782,0.18961563406199367,0.09517144832917335,0.5099999999999999
0.18382194906925978,0.0928115919420333,0.09817559720107143,0.1974991457701703,0.6095946801773273,0.5167830882352941,0.31764009471191795,0.13381814564265818,0.1855116079105761,0.08733601070950467,0.7644198895027627,0.8876502188619179,0.8052690937870992,0.06,0,0.10462685364559414,0.1881984179504148,0.09287229212457625,0.5099999999999999
0.1810571107588606,0.08767142504563573,0.09603229196522406,0.19021567363792538,0.6075427485750475,0.5198713235294117,0.316594317284925,0.1355372065260645,0.1849211808541129,0.08888888888888888,0.764187056037885,0.8865996816553918,0.8047652024798839,0.07,0,0.10248354840974676,0.1854335796400156,0.08773212522817866,0.5099999999999999
0.17942268161362027,0.08534479426666168,0.09463847939767096,0.18649523029139828,0.6064661177960735,0.5211213235294117,0.3159905288082084,0.13656784719458814,0.18453138435081692,0.0898929049531459,0.7641199684293609,0.8858396339037008,0.8044684078617595,0.08,0,0.10108973584219368,0.1837991504947753,0.08540549444920462,0.5099999999999999
0.17787898507869573,0.0829457051186529,0.0933131628453242,0.1827708245910427,0.6056111462951236,0.5226654411764705,0.3154814522494081,0.1376024671707123,0.1841788478073947,0.09086568496207047,0.7640962904498818,0.8851392757660166,0.8042204194697269,0.09,0,0.0997644192898469,0.1822554539598508,0.08300640530119585,0.5099999999999999
0.1757610865488411,0.07871997587825505,0.09160285356578701,0.17683478607110767,0.604547181760608,0.5258272058823529,0.3148756906077348,0.13911460405889378,0.18378045285182004,0.092177599286033,0.7640390686661408,0.8843115797851173,0.8039077958053029,0.1,0,0.09805411001030973,0.18013755542999613,0.07878067606079797,0.5099999999999999
0.1740818627116893,0.07649188103043623,0.09005732301519062,0.1730611606726925,0.603863204559848,0.5273713235294117,0.3143942383583268,0.1403123756466375,0.18339065634852397,0.09333333333333332,0.7640943172849254,0.8834480700358137,0.8036584883260786,0.11,0,0.09650857945971332,0.17845833159284433,0.07655258121297918,0.5099999999999999
0.17240872325784376,0.07402682962038519,0.08858475077341949,0.16912353702087032,0.6030525649145029,0.5290257352941177,0.31389897395422256,0.14149025069637886,0.18303811980510176,0.09445336903168226,0.7640844514601424,0.8826283326701153,0.8033801609286373,0.12,0,0.09503600721794218,0.1767851921389988,0.07408752980292815,0.5099999999999999
0.170118175542428,0.06982568779570092,0.08676781070973492,0.1631054551325015,0.6014249525015832,0.5315992647058823,0.31300118389897397,0.14288300835654597,0.18247062195471483,0.09570281124497991,0.7639680347277034,0.8817926780740151,0.8030253264740798,0.13,0,0.09321906715425762,0.17449464442358303,0.06988638797824386,0.5099999999999999
0.16818194834375066,0.06639837434340425,0.08523798451664691,0.15816731485380456,0.5999461684610513,0.533547794117647,0.31220303867403315,0.14402109033028254,0.1819805101748352,0.09674252565818829,0.7638447119179164,0.8810764027059291,0.8027054478301018,0.14,0,0.09168924096116962,0.17256433671977545,0.06647807389263495,0.5099999999999999
0.16649891008743484,0.06368740220914204,0.0837905898937299,0.15400894809662533,0.5991101963267892,0.535422794117647,0.31170185477505924,0.14520294468762437,0.18163083978217257,0.09784024988844264,0.7638249802683504,0.8803004377238359,0.8024350349558106,0.15,0,0.09024184633825261,0.17088129846345962,0.06376710175837275,0.5099999999999999
