trial,pr,tpr,eo,acc
0.0,0.9500000000000001,0.1,0.25,0.9
1.0,1.0,0.05,0.2,1.0
2.0,1.0,0.0,0.15000000000000002,1.0
3.0,0.1,0.9500000000000001,0.75,0.30000000000000004
4.0,0.9500000000000001,0.15000000000000002,0.45,0.9500000000000001
5.0,0.9,0.65,0.65,0.9
6.0,0.1,0.9500000000000001,0.25,0.55
7.0,0.1,0.8,0.1,0.2
8.0,0.9500000000000001,0.15000000000000002,0.65,0.9500000000000001
9.0,0.05,0.9500000000000001,0.25,0.9500000000000001
