trial,repairlevel,avg_prd,avg_tprd,avg_eod,avg_acc,05_acc,05_eod,05_prd,05_tprd
0,0.0,0.017218359130507004,0.014966173494500712,0.02433243636888599,0.6207316831683165,0.7345,0.06611455641416482,0.018625598687518174,-0.053726325877358094
0,0.05,0.017207816518732127,0.014887236853491043,0.02423458107122804,0.6207712871287125,0.7345,0.06531902412601605,0.01852610409885952,-0.05330295585195588
0,0.1,0.016779719410378764,0.014868841632529668,0.023920552486600178,0.6207198019801977,0.7344,0.06653792643956703,0.018463655367680132,-0.05414969590276031
0,0.15000000000000002,0.01626649542782333,0.015487103756663626,0.02396688401257702,0.6205386138613859,0.7342,0.06658913420222269,0.018040274139345336,-0.05457306592816252
0,0.2,0.016014646475364373,0.015587632865690029,0.02388347202011968,0.6204594059405936,0.7342,0.06658913420222269,0.018040274139345336,-0.05457306592816252
0,0.25,0.01598232697763703,0.015522929130926809,0.023763771111708284,0.6204811881188115,0.734,0.06743587425302706,0.017716387499669223,-0.055419805978966896
0,0.30000000000000004,0.015979707044293384,0.0156687501175946,0.024138096459433732,0.6203247524752473,0.734,0.06743587425302706,0.017716387499669223,-0.055419805978966896
0,0.35000000000000003,0.015845335902963956,0.01564589053784164,0.024059371904343364,0.6202811881188116,0.734,0.06743587425302706,0.017716387499669223,-0.055419805978966896
0,0.4,0.015462762756389952,0.016057414541895864,0.024159363799306503,0.6201900990099006,0.7341,0.06831460887517117,0.017454949591172497,-0.056298540601111
0,0.45,0.01537473299604312,0.016115465940043896,0.024179133353225853,0.6201702970297027,0.7341,0.06831460887517117,0.017454949591172497,-0.056298540601111
0,0.5,0.015098476744554664,0.01628108923105457,0.02434141783038764,0.6202267326732669,0.734,0.06743587425302706,0.017716387499669223,-0.055419805978966896
0,0.55,0.015054954411849853,0.016298143670992728,0.02440524272261488,0.6202178217821779,0.734,0.06743587425302706,0.017716387499669223,-0.055419805978966896
0,0.6000000000000001,0.014965897637632307,0.01634164538496026,0.02439713342899112,0.6201227722772272,0.7339,0.06785924427842928,0.01755444417983118,-0.05584317600436911
0,0.65,0.01452979401298072,0.016815110525515584,0.024451252247469614,0.620023762376237,0.734,0.06873797890057338,0.017293006271334455,-0.05672191062651322
0,0.7000000000000001,0.014340425230901276,0.016945372558771113,0.024589032651707587,0.6200019801980191,0.734,0.06873797890057338,0.017293006271334455,-0.05672191062651322
0,0.75,0.014186718981495672,0.01703815165880617,0.02470993026594274,0.619933663366336,0.734,0.06873797890057338,0.017293006271334455,-0.05672191062651322
0,0.8,0.01410230472916308,0.0169512219001581,0.02462258013565233,0.6199425742574253,0.7339,0.06785924427842928,0.01755444417983118,-0.05584317600436911
0,0.8500000000000001,0.013860579199144012,0.017043684222259117,0.02467562319416137,0.6199188118811877,0.7338,0.06748708201568272,0.017293006271334455,-0.05584317600436911
0,0.9,0.01359325168049075,0.01728310203804756,0.02481018582677747,0.6198188118811877,0.7339,0.06836581663782683,0.01703156836283773,-0.05672191062651322
0,0.9500000000000001,0.013394744570908626,0.01762327733765208,0.025267680570342482,0.619846534653465,0.734,0.06810355595070383,0.01686962504299966,-0.05672191062651322
0,1.0,0.013397636977320024,0.017671921167851507,0.025295279726392166,0.6198188118811878,0.734,0.06810355595070383,0.01686962504299966,-0.05672191062651322
1,0.0,0.017810800781003805,0.016637994997165284,0.02672663695171094,0.6171376237623764,0.7289,0.072006285737874,0.017552542994627024,-0.06079101267505227
1,0.05,0.017507857627680642,0.016541929277206546,0.026398498633699027,0.6170792079207921,0.7288,0.07243145580590117,0.017389357616036938,-0.06121618274307944
1,0.1,0.017337688700035443,0.016561108026560075,0.026256744814213313,0.6170950495049504,0.7286,0.0719685264067881,0.01748443670025679,-0.06075325334396636
1,0.15000000000000002,0.0169918427874119,0.016566813050246917,0.025873054095055775,0.6169653465346536,0.7286,0.07212886596634074,0.017158065943076617,-0.06117842341199359
1,0.2,0.01678134820365492,0.01661703669913879,0.025644994969338405,0.6169653465346534,0.7285,0.0717646999066175,0.016899801480266707,-0.06117842341199359
1,0.25,0.016661840050608424,0.016764275659087998,0.02566079360149294,0.6169495049504952,0.7285,0.0717646999066175,0.016899801480266707,-0.06117842341199359
1,0.30000000000000004,0.016302280744333632,0.017043059156026164,0.025809288348785087,0.6168871287128717,0.7284,0.07297920610239514,0.016831695185896473,-0.06202876354804798
1,0.35000000000000003,0.016179808254976936,0.017040068317920348,0.025790563095477153,0.6168504950495051,0.7284,0.07297920610239514,0.016831695185896473,-0.06202876354804798
1,0.4,0.016077331682847848,0.017075180757282604,0.025774876233422242,0.616819801980198,0.7283,0.0726150400426719,0.016573430723086563,-0.06202876354804798
1,0.45,0.01587247200865351,0.017178035679741535,0.025846355903137466,0.6168009900990101,0.7283,0.0726150400426719,0.016573430723086563,-0.06202876354804798
1,0.5,0.015398171522587815,0.01782647181236774,0.026360070760606775,0.6168623762376239,0.7282,0.07566674918103418,0.015567345661696486,-0.06508047268641026
1,0.55,0.015122708568032212,0.01786884451123185,0.02616480394549172,0.6168039603960397,0.7282,0.07566674918103418,0.015567345661696486,-0.06508047268641026
1,0.6000000000000001,0.01476121977258253,0.01816615625023553,0.026405413351473693,0.6166950495049505,0.7282,0.07566674918103418,0.015567345661696486,-0.06508047268641026
1,0.65,0.014657508060324195,0.018231917303087108,0.02645249515743951,0.6166930693069309,0.7282,0.07566674918103418,0.015567345661696486,-0.06508047268641026
1,0.7000000000000001,0.014404724949114904,0.018411614333579653,0.02674233691384316,0.6166257425742575,0.7281,0.07609191924906135,0.0154041602831064,-0.06550564275443743
