trial,thresholds,positivity_rate_differences_scores_pr,tpr_differences_scores_pr,fpr_differences_scores_pr,eqodds_differences_scores_pr,tpr_A_scores_pr,tpr_B_scores_pr,selection_A_scores_pr,selection_B_scores_pr,fpr_A_scores_pr,fpr_B_scores_pr,acc_A_scores_pr,acc_B_scores_pr,acc_overall_scores_pr,positivity_rate_differences_scores_tpr,tpr_differences_scores_tpr,fpr_differences_scores_tpr,eqodds_differences_scores_tpr,tpr_A_scores_tpr,tpr_B_scores_tpr,selection_A_scores_tpr,selection_B_scores_tpr,fpr_A_scores_tpr,fpr_B_scores_tpr,acc_A_scores_tpr,acc_B_scores_tpr,acc_overall_scores_tpr,positivity_rate_differences_scores_eo,tpr_differences_scores_eo,fpr_differences_scores_eo,eqodds_differences_scores_eo,tpr_A_scores_eo,tpr_B_scores_eo,selection_A_scores_eo,selection_B_scores_eo,fpr_A_scores_eo,fpr_B_scores_eo,acc_A_scores_eo,acc_B_scores_eo,acc_overall_scores_eo,positivity_rate_differences_scores_acc,tpr_differences_scores_acc,fpr_differences_scores_acc,eqodds_differences_scores_acc,tpr_A_scores_acc,tpr_B_scores_acc,selection_A_scores_acc,selection_B_scores_acc,fpr_A_scores_acc,fpr_B_scores_acc,acc_A_scores_acc,acc_B_scores_acc,acc_overall_scores_acc
1,0.28,0.038686626271590696,-0.029113816774485102,0.02259952803946269,0.05171334481394779,0.610989010989011,0.6401028277634961,0.36999669202778696,0.33131006575619626,0.22460885706709097,0.20200932902762828,0.7135296063513067,0.7513909964592818,0.7285,0.04475734927852909,-0.016455455427177856,0.025001862551412846,0.0414573179785907,0.6202197802197802,0.636675235646958,0.3742970559047304,0.3295397066262013,0.22593476531424025,0.2009329027628274,0.7161759841217333,0.7511380880121397,0.73,0.04324951965800555,-0.019905270393702268,0.024377872147049368,0.044283142540751635,0.6193406593406593,0.6392459297343616,0.3738008600727754,0.33055134041476986,0.2256695836648104,0.20129171151776104,0.7160105855110817,0.7516439049064239,0.7301,0.038686626271590696,-0.029113816774485102,0.02259952803946269,0.05171334481394779,0.610989010989011,0.6401028277634961,0.36999669202778696,0.33131006575619626,0.22460885706709097,0.20200932902762828,0.7135296063513067,0.7513909964592818,0.7285
1,0.29,0.046982659164580554,-0.008046931645903421,0.027014559871251315,0.035061491517154736,0.5969230769230769,0.6049700085689803,0.36387694343367516,0.3168942842690946,0.22328294881994165,0.19626838894869034,0.7090638438637116,0.7450682852807283,0.7233,0.04973578889615632,-0.0011028560128816256,0.027638550275614793,0.02874140628849642,0.6004395604395605,0.6015424164524421,0.3653655309295402,0.3156297420333839,0.22354813046937153,0.19590958019375673,0.7102216341382732,0.7443095599393019,0.7237,0.04882128600640745,-0.0037179958002580005,0.027638550275614793,0.03135654607587279,0.5986813186813187,0.6023993144815767,0.3647039364869335,0.31588265048052605,0.22354813046937153,0.19590958019375673,0.7095600396956666,0.7445624683864441,0.7234,0.046982659164580554,-0.008046931645903421,0.027014559871251315,0.035061491517154736,0.5969230769230769,0.6049700085689803,0.36387694343367516,0.3168942842690946,0.22328294881994165,0.19626838894869034,0.7090638438637116,0.7450682852807283,0.7233
1,0.3,0.046602836356103794,-0.007718485456274626,0.02667145078339911,0.034389936239673735,0.592967032967033,0.6006855184233076,0.36172676149520344,0.31512392513909965,0.2222222222222222,0.1955507714388231,0.7082368508104532,0.7443095599393019,0.7225,0.049297319438176834,-0.0004237407836379381,0.027389068293266344,0.027812809076904282,0.5934065934065934,0.5938303341902313,0.3618921601058551,0.3125948406676783,0.2222222222222222,0.19483315392895587,0.7084022494211049,0.7427921092564491,0.722,0.04829530671193749,-0.0025993201314538084,0.027030259538332713,0.02962957966978652,0.5920879120879121,0.5946872322193659,0.3613959642739001,0.3131006575619626,0.2222222222222222,0.1951919626838895,0.7079060535891498,0.7427921092564491,0.7217,0.046602836356103794,-0.007718485456274626,0.02667145078339911,0.034389936239673735,0.592967032967033,0.6006855184233076,0.36172676149520344,0.31512392513909965,0.2222222222222222,0.1955507714388231,0.7082368508104532,0.7443095599393019,0.7225
1,0.31,0.043945917247820654,-0.007106038776990009,0.023239789007892364,0.030345827784882373,0.5832967032967032,0.5904027420736933,0.3552762156797883,0.31133029843196763,0.2177141341819146,0.19447434517402223,0.7074098577571949,0.7420333839150227,0.7211,0.0512321569032963,0.007088335828695724,0.02768564927685907,0.034773985105554794,0.5854945054945055,0.5784061696658098,0.35775719483956336,0.30652503793626706,0.2203659506762132,0.19268030139935413,0.7065828647039365,0.7397572078907435,0.7197,0.048800203330694625,0.0006282663352071838,0.027061658872495592,0.027689925207702776,0.5841758241758241,0.583547557840617,0.35709560039695665,0.308295397066262,0.22010076902678335,0.19303911015428776,0.7062520674826331,0.7410217501264542,0.72,0.043945917247820654,-0.007106038776990009,0.023239789007892364,0.030345827784882373,0.5832967032967032,0.5904027420736933,0.3552762156797883,0.31133029843196763,0.2177141341819146,0.19447434517402223,0.7074098577571949,0.7420333839150227,0.7211
1,0.32,0.04396423909695202,-0.0026042166916202536,0.0219452800949059,0.024549496786526154,0.574945054945055,0.5775492716366752,0.34998346013893483,0.3060192210419828,0.21426677273932643,0.19232149264442053,0.7064174660932848,0.7397572078907435,0.7196,0.048390597059702944,0.004734973680989185,0.02514315955514565,0.029878133236134835,0.5771428571428572,0.572407883461868,0.35213364207740655,0.3037430450177036,0.2163882259347653,0.19124506637961966,0.7059212702613298,0.7389984825493171,0.719,0.04731069555930251,0.002559394333173204,0.02461279625628593,0.027172190589459133,0.5758241758241758,0.5732647814910026,0.3513066490241482,0.3039959534648457,0.2158578626359056,0.19124506637961966,0.7057558716506781,0.7392513909964593,0.719,0.04396423909695202,-0.0026042166916202536,0.0219452800949059,0.024549496786526154,0.574945054945055,0.5775492716366752,0.34998346013893483,0.3060192210419828,0.21426677273932643,0.19232149264442053,0.7064174660932848,0.7397572078907435,0.7196
1,0.33,0.04168714279714569,-0.005330470728928338,0.020198335321482103,0.02552880605041044,0.5687912087912088,0.5741216795201372,0.3456830962619914,0.3039959534648457,0.21108459294616813,0.19088625762468603,0.7060866688719815,0.7397572078907435,0.7194,0.04668758536601281,0.0042065218414832906,0.02303740602678822,0.02724392786827151,0.5731868131868132,0.5689802913453299,0.34866027125372145,0.30197268588770865,0.21320604614160701,0.1901686401148188,0.7064174660932848,0.738745574102175,0.7192,0.046191389534057825,0.003766961401922897,0.0225070427279285,0.026274004129851397,0.5727472527472528,0.5689802913453299,0.3481640754217665,0.30197268588770865,0.2126756828427473,0.1901686401148188,0.7065828647039365,0.738745574102175,0.7193,0.04168714279714569,-0.005330470728928338,0.020198335321482103,0.02552880605041044,0.5687912087912088,0.5741216795201372,0.3456830962619914,0.3039959534648457,0.21108459294616813,0.19088625762468603,0.7060866688719815,0.7397572078907435,0.7194
1,0.34,0.038037832024952534,-0.008607399455728526,0.017047554862486602,0.02565495431821513,0.5578021978021978,0.5664095972579263,0.3382401587826662,0.3002023267577137,0.20578095995757092,0.18873340509508432,0.7052596758187232,0.7389984825493171,0.7186,0.0462193324455184,-0.00030019680405279914,0.024722693925855882,0.02502289072990868,0.5643956043956044,0.5646958011996572,0.342375124048958,0.2961557916034396,0.20843277645186953,0.18371008252601365,0.7060866688719815,0.7420333839150227,0.7203,0.044808633723814606,-0.0024757761518687804,0.02366196732813644,0.02613774348000522,0.563076923076923,0.5655526992287918,0.3412173337743963,0.2964087000505817,0.2073720498541501,0.18371008252601365,0.7062520674826331,0.7422862923621649,0.7205,0.038037832024952534,-0.008607399455728526,0.017047554862486602,0.02565495431821513,0.5578021978021978,0.5664095972579263,0.3382401587826662,0.3002023267577137,0.20578095995757092,0.18873340509508432,0.7052596758187232,0.7389984825493171,0.7186
1,0.35000000000000003,0.04031308777370457,-0.011728768232624254,0.021681240239445593,0.033410008472069846,0.552967032967033,0.5646958011996572,0.3339397949057228,0.2936267071320182,0.20180323521612303,0.18012199497667744,0.7059212702613298,0.7445624683864441,0.7212,0.04457404712580382,-0.006520711507858046,0.02542518266562649,0.031945894173484535,0.5556043956043956,0.5621251071122536,0.3359245782335428,0.291350531107739,0.2033943251127022,0.1779691424470757,0.7059212702613298,0.7453211937278705,0.7215,0.04440864851515214,-0.006103373918283972,0.025066373910692857,0.03116974782897683,0.5551648351648352,0.5612682090831191,0.33575917962289115,0.291350531107739,0.2033943251127022,0.17832795120200934,0.7057558716506781,0.7448153768335862,0.7212,0.04031308777370457,-0.011728768232624254,0.021681240239445593,0.033410008472069846,0.552967032967033,0.5646958011996572,0.3339397949057228,0.2936267071320182,0.20180323521612303,0.18012199497667744,0.7059212702613298,0.7445624683864441,0.7212
1,0.36,0.03881395893998313,-0.012741226211663292,0.020137249344110736,0.03287847555577403,0.5468131868131868,0.5595544130248501,0.32864703936486933,0.2898330804248862,0.19702996552638558,0.17689271618227484,0.7065828647039365,0.7453211937278705,0.7219,0.04254023821081038,-0.00920251984519338,0.02377186499770642,0.0329743848428998,0.5512087912087912,0.5604113110539846,0.3321204101885544,0.28958017197774405,0.19994696367011403,0.1761750986724076,0.7064174660932848,0.7460799190692969,0.7221,0.04162573532106151,-0.010081640724314278,0.02288269294391307,0.03296433366822735,0.5503296703296703,0.5604113110539846,0.3314588157459477,0.2898330804248862,0.1994166003712543,0.17653390742734124,0.7064174660932848,0.7458270106221547,0.722,0.03881395893998313,-0.012741226211663292,0.020137249344110736,0.03287847555577403,0.5468131868131868,0.5595544130248501,0.32864703936486933,0.2898330804248862,0.19702996552638558,0.17689271618227484,0.7065828647039365,0.7453211937278705,0.7219
1,0.37,0.03460980568633232,-0.01733683625714466,0.016659059464344483,0.033995895721489144,0.5345054945054946,0.5518423307626392,0.3193847171683758,0.2847749114820435,0.1896048793423495,0.17294581987800503,0.7065828647039365,0.7458270106221547,0.7221,0.04335576965068516,-0.0094247483450568,0.025301298019929447,0.034726046364986246,0.5424175824175824,0.5518423307626392,0.32484287131988093,0.28148710166919577,0.1935826040837974,0.16828130606386796,0.7070790605358915,0.7491148204350025,0.7237,0.04355003144832459,-0.010348314924150448,0.026206169740804197,0.036554484664954645,0.5397802197802197,0.5501285347043702,0.32351968243466755,0.27996965098634297,0.19305224078493768,0.1668460710441335,0.7064174660932848,0.7496206373292867,0.7235,0.03460980568633232,-0.01733683625714466,0.016659059464344483,0.033995895721489144,0.5345054945054946,0.5518423307626392,0.3193847171683758,0.2847749114820435,0.1896048793423495,0.17294581987800503,0.7065828647039365,0.7458270106221547,0.7221
