trial,pr_diff_avg,tpr_diff_avg,eo_diff_avg,acc_avg,alg
0,0.06262497870645452,0.03054438293803673,0.02530887243854559,0.769947194719472,uncorrected
1,0.0756806288330588,0.04001896079613873,0.036168990679087645,0.7686303630363033,uncorrected
2,0.08141493408204872,0.0536310772031994,0.04055029068549315,0.7659752475247528,uncorrected
3,0.07929561920820688,0.03315897022866599,0.03089292814680731,0.7685363036303631,uncorrected
4,0.0740790902079351,0.0415674010815938,0.03604864423630529,0.7670396039603962,uncorrected
5,0.07120606441891161,0.05775940994515374,0.04332520875848089,0.7697425742574258,uncorrected
6,0.06336892694986494,0.0389884989859973,0.03602235593783172,0.7636551155115513,uncorrected
7,0.08542681902113301,0.051957710322789195,0.04619655752886787,0.7635066006600658,uncorrected
8,0.09090144576915642,0.055178181322392425,0.04495364165788107,0.7667227722772278,uncorrected
9,0.07385435829595483,0.03324919133015448,0.034346579767751725,0.7675594059405939,uncorrected
0,0.022825258043673056,0.08340508173969814,0.0684313201836106,0.7617524752475253,full_corr
1,0.007885780210194473,0.0670315570882931,0.04719119074939998,0.7619702970297025,full_corr
2,0.012218435669938625,0.03967434429041147,0.037079448690494836,0.7592821782178215,full_corr
3,0.01992304821395939,0.05695734424019595,0.03950651122952185,0.762102310231023,full_corr
4,0.007693790585600878,0.06053373926941532,0.04629376445404476,0.7599257425742574,full_corr
5,0.021347856054676848,0.06433860157208962,0.05750613285065418,0.7619620462046206,full_corr
6,0.029783184854834617,0.08966975901116844,0.06596077099086341,0.7559653465346534,full_corr
7,0.007540868173762126,0.054541073523568316,0.040732326255773964,0.7566419141914195,full_corr
8,0.020483243867548108,0.043064930749587206,0.03295363650136407,0.7599950495049506,full_corr
9,0.00951048813920392,0.07147237446366005,0.051632650414937614,0.7599719471947197,full_corr
0,0.02069554753946272,0.028923119195620524,0.02398183902566376,0.7650627062706269,ours_tpr
1,0.040062743291618325,0.014809679666961378,0.015304962171382323,0.7647640264026399,ours_tpr
2,0.046480973798153566,0.012776775380447695,0.010596615621273208,0.7619438943894391,ours_tpr
3,0.048865132870033814,0.012685145523938514,0.012505544603133264,0.7646897689768973,ours_tpr
4,0.03776855864741771,0.017958736098431367,0.01282580966649374,0.7627524752475244,ours_tpr
5,0.029237901770440018,0.00814325996126116,0.012690159003407586,0.7653481848184814,ours_tpr
6,0.019634266979461443,0.027324670394197,0.018466470507090195,0.7591864686468643,ours_tpr
7,0.04543603409686955,0.006946491522335184,0.00901975643225175,0.7594158415841582,ours_tpr
8,0.05468980276076028,0.009081033597792292,0.010290376059674946,0.7626089108910891,ours_tpr
9,0.03522702549239981,0.02386580849237159,0.018477253810740925,0.7632293729372935,ours_tpr
0,0.01591366547331831,0.02222076871748898,0.01754005069861025,0.6187445544554456,feldman_tpr
1,0.012768675496272159,0.01957267350227212,0.01348452121874236,0.6218287128712869,feldman_tpr
2,0.015620674417191454,0.014094155278273051,0.010705429535887006,0.6185118811881177,feldman_tpr
3,0.016601161524155937,0.014397085978247858,0.010966950575078812,0.6194653465346541,feldman_tpr
4,0.016791508233175753,0.016219715735087858,0.014200036541772983,0.6198742574257432,feldman_tpr
5,0.010143872949586904,0.022521489042786554,0.014110786466451815,0.6189019801980206,feldman_tpr
6,0.010986964384143486,0.030774144425297485,0.01929148808609421,0.6205356435643554,feldman_tpr
7,0.01459313830758903,0.017797449979193834,0.012794445987867668,0.6178089108910886,feldman_tpr
8,0.013975406491834014,0.013721345100984158,0.009969757247738381,0.6195950495049505,feldman_tpr
9,0.01837072888383627,0.012128359607833566,0.011240899262589808,0.6212960396039607,feldman_tpr
0,0.021830135999068183,0.02729047107916843,0.022675831520449063,0.765209570957096,ours_eo
1,0.040861713053833404,0.014089754924634986,0.014917008338132092,0.7648085808580857,ours_eo
2,0.04765120797762492,0.01361740475265983,0.010858059678432749,0.7620528052805281,ours_eo
3,0.04967570998306483,0.011580537274786924,0.012051707949099927,0.7647755775577555,ours_eo
4,0.038605649486529586,0.01749183064288505,0.01262852316687904,0.7628382838283827,ours_eo
5,0.030372587334243244,0.006912019985833274,0.011961365420620035,0.7653844884488447,ours_eo
6,0.02066385263296263,0.025258026557115888,0.017423502998959742,0.7592326732673267,ours_eo
7,0.046656128727158526,0.006693344593106208,0.009184123904170866,0.759523102310231,ours_eo
8,0.05577024392521386,0.010320587416267308,0.011085526882737218,0.7626650165016502,ours_eo
9,0.03636311980596802,0.022560267379970016,0.017966897945423926,0.7633448844884485,ours_eo
0,0.015653753113571492,0.022398846725958734,0.017535528398945423,0.6186188118811885,feldman_eo
1,0.012346961513867051,0.019876219210383992,0.01342052610100149,0.621740594059406,feldman_eo
2,0.015600136358846568,0.014056843632250087,0.01066551672938063,0.6184940594059396,feldman_eo
3,0.017651797515980797,0.0135832310792135,0.01048372236008204,0.619646534653466,feldman_eo
4,0.016769245984866545,0.016152465482265066,0.014113228962321128,0.6198524752475255,feldman_eo
5,0.010143872949586904,0.022521489042786554,0.014110786466451815,0.6189019801980206,feldman_eo
6,0.014240856379278032,0.026729445527837924,0.018165429987025226,0.621112871287128,feldman_eo
7,0.014423015963966456,0.017439340954683125,0.012149022536159975,0.6177831683168309,feldman_eo
8,0.014777419177576781,0.012057424400673639,0.009362896384232327,0.6195960396039606,feldman_eo
9,0.015857773769652757,0.01246503850050436,0.010172646671956343,0.6211980198019804,feldman_eo
0,0.014612730328654455,0.023738577374410177,0.017689914492984807,0.6183594059405942,feldman_pr
1,0.010361212352325453,0.021465460650983332,0.013755861610157774,0.6213128712871285,feldman_pr
2,0.016823047121362893,0.013511523317007803,0.010861063689320456,0.6180782178217812,feldman_pr
3,0.02274778434230431,0.01291701206496569,0.011534572296925059,0.6202762376237632,feldman_pr
4,0.016296358532246816,0.015908485526103713,0.013835611033552998,0.6197554455445552,feldman_pr
5,0.010065768136108382,0.02291634161301498,0.014398475948296454,0.6187712871287139,feldman_pr
6,0.015248411807797197,0.02580455438073184,0.018231338440657514,0.6213425742574249,feldman_pr
7,0.014423015963966456,0.017439340954683125,0.012149022536159975,0.6177831683168309,feldman_pr
8,0.014943465688899664,0.011642272091706348,0.009392832787074612,0.6193049504950497,feldman_pr
9,0.015005711496391731,0.013282626225375372,0.010269104280913977,0.6213237623762378,feldman_pr
0,0.014666191596916308,0.023643819065836517,0.01765789569954363,0.6183267326732675,feldman_acc
1,0.010361212352325453,0.021465460650983332,0.013755861610157774,0.6213128712871285,feldman_acc
2,0.016823047121362893,0.013511523317007803,0.010861063689320456,0.6180782178217812,feldman_acc
3,0.021039936927924708,0.013109880630577496,0.01090477017090875,0.6200247524752485,feldman_acc
4,0.016296358532246816,0.015908485526103713,0.013835611033552998,0.6197554455445552,feldman_acc
5,0.010065768136108382,0.02291634161301498,0.014398475948296454,0.6187712871287139,feldman_acc
6,0.012728761630062868,0.028652033369719995,0.018591185468197283,0.6208623762376229,feldman_acc
7,0.014376065203917718,0.017238789884513404,0.012042412379493767,0.6178099009900984,feldman_acc
8,0.014943465688899664,0.011642272091706348,0.009392832787074612,0.6193049504950497,feldman_acc
9,0.01837072888383627,0.012128359607833566,0.011240899262589808,0.6212960396039607,feldman_acc
