thresholds,positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,trial
0.0,-0.059001822696946316,0.0008124684070196508,-0.10415446751252155,0.1049669359195412,0.997822931785196,0.9970104633781763,0.8877744646245596,0.9467762873215059,0.8221549112938122,0.9263093788063338,0.4841420439143399,0.34097793163132845,0.429,0
0.01,-0.014723389111371055,0.003802005028843203,-0.0578994914435067,0.061701496472349904,0.997822931785196,0.9940209267563528,0.8091623746272703,0.8238857637386413,0.696668109043704,0.7545676004872107,0.5627541339116292,0.4621376027693639,0.524,0
0.02,-0.007348615804831815,0.003076315623908421,-0.054356619904486814,0.057432935528395235,0.9970972423802612,0.9940209267563528,0.7706695581458389,0.7780181739506707,0.635655560363479,0.6900121802679658,0.6007047980482516,0.5080051925573345,0.565,0
0.03,0.0028715775753497264,0.0023506262189737503,-0.044147014938352824,0.046497641157326575,0.9963715529753265,0.9940209267563528,0.7462727026294389,0.7434011250540892,0.597144093466032,0.6412911084043849,0.6245595012198428,0.542622241453916,0.593,0
0.04,0.009311836011466679,0.0032064841270357247,-0.03884166758462282,0.042048151711658543,0.9927431059506531,0.9895366218236173,0.7245866088370833,0.7152747728256166,0.5646906101254868,0.6035322777101096,0.643534833288154,0.568152315015145,0.6145,0
0.05,0.012300477204323701,0.0017984948182088178,-0.03678983793549995,0.038588332753708765,0.9898403483309144,0.9880418535127056,0.7072377338031987,0.694937256598875,0.5387278234530506,0.5755176613885505,0.6587150989428029,0.5876244050194721,0.6313333333333333,0
0.06,0.012588444319534875,0.0018418843192513634,-0.03909728982449556,0.040939174143746926,0.988388969521045,0.9865470852017937,0.6915153158037408,0.6789268714842059,0.5144958892254435,0.5535931790499391,0.673353212252643,0.6027693639117265,0.6461666666666667,0
0.07,0.016343160147603397,-0.00033518389555275974,-0.03507427011944669,0.03540945401499945,0.9862119013062409,0.9865470852017937,0.6779615071835186,0.6616183470359152,0.49415837299870186,0.5292326431181485,0.6852805638384386,0.6200778883600173,0.6601666666666667,0
0.08,0.015390229457593163,0.0004772845114667801,-0.03904853712926204,0.03952582164072882,0.9840348330914369,0.9835575485799701,0.663594470046083,0.6482042405884898,0.4725227174383384,0.5115712545676004,0.6980211439414475,0.6317611423626136,0.6725,0
0.09,0.014171266418377626,0.002058831824463425,-0.04321517963918786,0.04527401146365129,0.9811320754716981,0.9790732436472347,0.6511249661154784,0.6369536996971008,0.4543487667676331,0.49756394640682094,0.7083220384928165,0.6404154045867589,0.6821666666666667,0
0.1,0.017441071430037702,-0.000118236390340698,-0.03972106079540155,0.03983929718574225,0.978955007256894,0.9790732436472347,0.6383843860124695,0.6209433145824318,0.4353093898745132,0.47503045066991473,0.7194361615613988,0.656425789701428,0.6951666666666667,0
0.11,0.02271280505893114,-0.0007571467931903886,-0.03371077582140386,0.03446792261459425,0.9753265602322206,0.976083707025411,0.625914882081865,0.6032020770229338,0.41756815231501515,0.451278928136419,0.7291949037679588,0.672436174816097,0.7073333333333334,0
