,alg,tprdiff_mean,tprdiff_std,eodiff_mean,eodiff_std,acc_mean,acc_std
0,orig,0.065,0.04,0.103,0.057,0.742,0.119
1,feldman_tpr,0.018,0.024,0.027,0.03,0.62,0.146
2,feldman_eo,0.018,0.024,0.026,0.029,0.62,0.146
3,full/chzhen,0.052,0.036,0.085,0.041,0.735,0.116
4,ours_tpr,0.015,0.013,0.026,0.019,0.738,0.117
5,ours_eqodds,0.013,0.012,0.025,0.019,0.738,0.117
