trial,thresholds,positivity_rate_differences_scores_fpr,tpr_differences_scores_fpr,fpr_differences_scores_fpr,eqodds_differences_scores_fpr,tpr_A_scores_fpr,tpr_B_scores_fpr,selection_A_scores_fpr,selection_B_scores_fpr,fpr_A_scores_fpr,fpr_B_scores_fpr,acc_A_scores_fpr,acc_B_scores_fpr,acc_overall_scores_fpr,positivity_rate_differences_scores_tpr,tpr_differences_scores_tpr,fpr_differences_scores_tpr,eqodds_differences_scores_tpr,tpr_A_scores_tpr,tpr_B_scores_tpr,selection_A_scores_tpr,selection_B_scores_tpr,fpr_A_scores_tpr,fpr_B_scores_tpr,acc_A_scores_tpr,acc_B_scores_tpr,acc_overall_scores_tpr,positivity_rate_differences_scores_eo,tpr_differences_scores_eo,fpr_differences_scores_eo,eqodds_differences_scores_eo,tpr_A_scores_eo,tpr_B_scores_eo,selection_A_scores_eo,selection_B_scores_eo,fpr_A_scores_eo,fpr_B_scores_eo,acc_A_scores_eo,acc_B_scores_eo,acc_overall_scores_eo
5,0.49,0.16625661379009515,0.25322740814299904,0.005112171531970087,0.2583395796749691,1.0,0.746772591857001,0.36573847907506923,0.19948186528497408,0.011421319796954314,0.006309148264984227,0.9926722032242306,0.9292746113989637,0.9682031796820318,0.02047686787100711,-0.2126306224443435,-3.656316887913798e-05,0.21266718561322265,0.7873693775556565,1.0,0.28757531346686205,0.26709844559585494,0.008375634517766498,0.008412197686645636,0.9184171958964338,0.9937823834196892,0.9475052494750525,0.12454676923050964,0.09533267130089373,0.004411155058082951,0.09974382635897669,1.0,0.9046673286991063,0.36573847907506923,0.2411917098445596,0.011421319796954314,0.0070101647388713636,0.9926722032242306,0.9699481865284975,0.9839016098390161
5,0.5,0.16359202944955886,0.25322740814299904,0.0,0.25322740814299904,1.0,0.746772591857001,0.3584106822992998,0.19481865284974093,0.0,0.0,1.0,0.9339378238341969,0.9745025497450255,0.02132076681575379,-0.2126306224443435,0.0,0.2126306224443435,0.7873693775556565,1.0,0.28220159583129784,0.26088082901554405,0.0,0.0,0.923790913531998,1.0,0.9532046795320468,0.12240031960499928,0.09533267130089373,0.0,0.09533267130089373,1.0,0.9046673286991063,0.3584106822992998,0.2360103626943005,0.0,0.0,1.0,0.9751295336787564,0.9904009599040096
5,0.51,0.16071275795996165,0.24762600009835745,0.0,0.24762600009835745,0.9854611540208996,0.7378351539225422,0.353199804592086,0.19248704663212435,0.0,0.0,0.9947891222927862,0.9316062176165804,0.9704029597040296,0.020291964397960494,-0.21198814116721343,0.0,0.21198814116721343,0.7751022262607905,0.9870903674280039,0.27780491776583616,0.25751295336787566,0.0,0.0,0.9193942354665364,0.9966321243523316,0.9492050794920508,0.119780115472915,0.09072431191563646,0.0,0.09072431191563646,0.9854611540208996,0.8947368421052632,0.353199804592086,0.233419689119171,0.0,0.0,0.9947891222927862,0.9725388601036269,0.9862013798620138
5,0.52,0.1588697559004162,0.2459967866912529,0.0,0.2459967866912529,0.9709223080417991,0.7249255213505462,0.34798892688487215,0.18911917098445596,0.0,0.0,0.9895782445855724,0.9282383419689119,0.9659034096590341,0.019551844267654828,-0.20972953072247114,0.0,0.20972953072247114,0.7614720581553839,0.971201588877855,0.2729197199153232,0.2533678756476684,0.0,0.0,0.9145090376160234,0.9924870466321244,0.9446055394460554,0.11845524812839547,0.09108119582730068,0.0,0.09108119582730068,0.9709223080417991,0.8798411122144985,0.34798892688487215,0.22953367875647668,0.0,0.0,0.9895782445855724,0.9686528497409327,0.9815018498150185
5,0.53,0.15776695834419635,0.24805417055622003,0.0,0.24805417055622003,0.9541117673784644,0.7060575968222443,0.3419638495359062,0.18419689119170984,0.0,0.0,0.9835531672366065,0.9233160621761658,0.9603039696030397,0.020107060924913905,-0.20250567698080724,0.0,0.20250567698080724,0.7478418900499773,0.9503475670307845,0.26803452206481027,0.24792746113989636,0.0,0.0,0.9096238397655105,0.9870466321243523,0.9395060493950604,0.11761151792968857,0.09413162835165201,0.0,0.09413162835165201,0.9541117673784644,0.8599801390268124,0.3419638495359062,0.22435233160621762,0.0,0.0,0.9835531672366065,0.9634715025906736,0.9758024197580242
5,0.54,0.15591657364541228,0.2477554889512622,0.0,0.2477554889512622,0.9359382099045889,0.6881827209533267,0.33545025240188897,0.1795336787564767,0.0,0.0,0.9770395701025891,0.9186528497409326,0.9545045495450455,0.02092134493968592,-0.19428877457975902,0.0,0.19428877457975902,0.7342117219445706,0.9285004965243296,0.2631493242142973,0.2422279792746114,0.0,0.0,0.9047386419149975,0.9813471502590674,0.9343065693430657,0.11602020058841747,0.09482599540607839,0.0,0.09482599540607839,0.9359382099045889,0.8411122144985105,0.33545025240188897,0.2194300518134715,0.0,0.0,0.9770395701025891,0.9585492227979274,0.9699030096990301
5,0.55,0.15459170630089275,0.2481123728629263,0.0,0.2481123728629263,0.9213993639254884,0.6732869910625621,0.3302393746946751,0.17564766839378237,0.0,0.0,0.9718286923953754,0.9147668393782383,0.9498050194980502,0.02274228345453519,-0.18272275804940163,0.0,0.18272275804940163,0.7219445706497046,0.9046673286991063,0.2587526461488357,0.2360103626943005,0.0,0.0,0.9003419638495359,0.9751295336787564,0.9292070792920708,0.11624973738897565,0.10114117127404842,0.0,0.10114117127404842,0.9213993639254884,0.82025819265144,0.3302393746946751,0.21398963730569948,0.0,0.0,0.9718286923953754,0.9531088082901554,0.9646035396460354
5,0.56,0.1531336139579974,0.24863799834597167,0.0,0.24863799834597167,0.9050431621990005,0.6564051638530288,0.3243771372740596,0.17124352331606219,0.0,0.0,0.9659664549747599,0.9103626943005181,0.9445055494450555,0.02385263239603347,-0.17422025828288756,0.0,0.17422025828288756,0.7105860972285325,0.8848063555114201,0.2546816479400749,0.23082901554404145,0.0,0.0,0.8962709656407751,0.9699481865284975,0.9247075292470753,0.11530977976110623,0.10365289407586242,0.0,0.10365289407586242,0.9050431621990005,0.8013902681231381,0.3243771372740596,0.20906735751295336,0.0,0.0,0.9659664549747599,0.9481865284974094,0.9591040895910409
5,0.5700000000000001,0.15047641225669986,0.24473709025463286,0.0,0.24473709025463286,0.8882326215356656,0.6434955312810328,0.31835205992509363,0.16787564766839377,0.0,0.0,0.9599413776257938,0.9069948186528497,0.9395060493950604,0.022883059838189446,-0.17233161598930158,0.0,0.17233161598930158,0.6955929123125852,0.8679245283018868,0.24930793030451068,0.22642487046632123,0.0,0.0,0.8908972480052109,0.9655440414507772,0.9197080291970803,0.11368884748986047,0.1037241806220609,0.0,0.1037241806220609,0.8882326215356656,0.7845084409136047,0.31835205992509363,0.20466321243523317,0.0,0.0,0.9599413776257938,0.9437823834196891,0.9537046295370463
5,0.58,0.14720484841121384,0.23831137512198797,0.0,0.23831137512198797,0.8718764198091776,0.6335650446871897,0.3124898225044781,0.16528497409326426,0.0,0.0,0.9540791402051783,0.9044041450777202,0.934906509349065,0.022276164706259566,-0.1702417471159403,0.0,0.1702417471159403,0.6837800999545661,0.8540218470705064,0.24507409216739945,0.22279792746113988,0.0,0.0,0.8866634098680997,0.9619170984455958,0.9157084291570843,0.11041728364437448,0.09729846548941601,0.0,0.09729846548941601,0.8718764198091776,0.7745779543197616,0.3124898225044781,0.20207253886010362,0.0,0.0,0.9540791402051783,0.9411917098445596,0.9491050894910509
