trial,repairlevel,avg_prd,avg_tprd,avg_eod,avg_acc,05_acc,05_eod,05_prd,05_tprd
0,0.0,0.09792633767484567,0.04459378452830797,0.06574306440647616,0.768782295587215,0.8166574534733738,0.07059369942291481,0.10464930557842257,0.05110030360266976
0,0.05,0.09698112704615285,0.04330674587274847,0.06369308016101582,0.7688613526913773,0.816964559916467,0.0668971144059293,0.10289847623820879,0.048999463266535315
0,0.1,0.08269229124757192,0.038377913257689765,0.05925311928998572,0.7717122734937955,0.8139549167741539,0.10657895738179686,0.11330560028439371,0.077538523942
0,0.15000000000000002,0.16549950811014663,0.13063104131930878,0.2204091355162762,0.7693569799213202,0.8132178613107303,0.20492924011273217,0.14849935606088638,0.14770003564565753
0,0.2,0.14882437680714278,0.10821305848058138,0.18498091513486606,0.7696878034956622,0.8134021251765862,0.14535466142496495,0.12361925148808017,0.10607758461746475
0,0.25,0.10818062865670798,0.062707595794713,0.09806960062287078,0.7802875367691546,0.8135249677538234,0.13148206892352962,0.11809052041102659,0.09626785867930787
0,0.30000000000000004,0.14791804565243158,0.10298433907405427,0.1784729873486461,0.7682495723314728,0.8135863890424421,0.16535002185481193,0.13578219507162698,0.11515800859592984
0,0.35000000000000003,0.14371583246346134,0.09768855333841041,0.16937797026304371,0.7688862860857676,0.8146305509489589,0.14904294994446046,0.1285022272913271,0.10495392696327682
0,0.4,0.10413920253054561,0.049432630822747764,0.0875000134695403,0.7737367434919278,0.8123579632700694,0.0909128998368443,0.10306739610901769,0.062371706361725565
0,0.45,0.09397475660826818,0.04170256958255883,0.07085868135094436,0.7742785887212268,0.8120508568269762,0.06736783098510783,0.09495859731872294,0.04374685027594655
0,0.5,0.11684318808179024,0.07567029109484502,0.12030659018259818,0.7755289072301368,0.816288925741662,0.13025898386682688,0.12020831594968172,0.09324924509052768
0,0.55,0.08636752506422223,0.02348165299303245,0.04778231055647131,0.7735080860214267,0.8051716725016891,0.02144522122963452,0.07653431419109549,0.009198218536561387
0,0.6000000000000001,0.0702634883316442,0.01555173145526247,0.02763108993247063,0.7747875948457199,0.8059087279651127,0.005670052817933209,0.06169945950393908,-0.004195534869237794
0,0.65,0.0746937564208119,0.02173831381638588,0.03386929645206033,0.7733949735493173,0.8054787789447823,0.03008094846175552,0.07700178024434587,0.024357866013299534
0,0.7000000000000001,0.07359420864399255,0.01986884369535331,0.03351785720447769,0.773681403519014,0.8034518764203673,0.02433925664829807,0.07921121549185317,0.011546939594950623
0,0.75,0.06640771958808309,0.016890735613679125,0.025141078234192014,0.7747024564258526,0.8038818254406978,0.005137819509199434,0.06750809990469742,0.0026724000180277097
0,0.8,0.09733293560898532,0.044151448975494646,0.07702862808523676,0.7659417130214956,0.8032676125545114,0.09470979187301404,0.1137652245992685,0.053246213161032285
0,0.8500000000000001,0.08499187590056008,0.03559452368789235,0.05719271424444589,0.7681765965430152,0.8049874086358332,0.07090475417987863,0.09828318886769168,0.04378884659665916
0,0.9,0.08592857576767911,0.03380555750161383,0.05678693470058026,0.7677204978651538,0.8051102512130704,0.068105456808525,0.09773029539183468,0.041182001810963265
0,0.9500000000000001,0.0931718869250003,0.03969730358267052,0.07099842996432604,0.7667626906416458,0.8030833486886555,0.05878991236551495,0.09109689761140649,0.03729785429530175
0,1.0,0.0964135214459902,0.04504379726411565,0.07912299400599869,0.7663570668841344,0.8029605061114182,0.06858404278363964,0.0953357475929767,0.0439004953517243
1,0.0,0.09416182590442145,0.033187561699342824,0.05651237889383745,0.7699249748081499,0.8165960321847552,0.056108142325717106,0.09080453470273682,0.043710421754066475
1,0.05,0.09459302020276952,0.03481682389711591,0.058734389108134055,0.7696616538381308,0.8165960321847552,0.05874051659424846,0.0919141047443457,0.04554809403584287
1,0.1,0.1611617167142767,0.11984811768085463,0.20837523875570313,0.7741150013287674,0.8194828327498311,0.19826654977067534,0.14817165044483793,0.13559455320557928
1,0.15000000000000002,0.14735562608086925,0.09790694007731138,0.17714535591997177,0.7733037538137446,0.8199127817701616,0.16026354170855495,0.13086501702873343,0.11034052812383593
1,0.2,0.1185587113940973,0.05559246019175819,0.11170413944904575,0.7744087288773102,0.8099625330139426,0.12544639534007507,0.12129228573763012,0.0737262530524399
1,0.25,0.1480880336359309,0.10403914273923982,0.18117359058496796,0.7711990104483089,0.8194214114612125,0.1741684799746763,0.1393485285154527,0.11917604817681388
1,0.30000000000000004,0.13469419797859003,0.08257394905708851,0.1509501161338043,0.7706565570874392,0.8150604999692893,0.13712235347094906,0.1238719447366725,0.0919079301353421
1,0.35000000000000003,0.09231365897360769,0.03276803690261003,0.0634882778538683,0.7773277604156216,0.8134021251765862,0.06036625941707165,0.09074404222699599,0.0369541823600017
1,0.4,0.09128818458775113,0.03929912107762245,0.07282263367910882,0.7763504929818578,0.8123579632700694,0.053461077246707754,0.09201676940745285,0.02545476180621664
1,0.45,0.10010780485536933,0.04407245782315907,0.08444512057892213,0.7763778589025292,0.8145077083717216,0.07621011178100529,0.10048982665759278,0.04307975663258973
1,0.5,0.07603844106098531,0.03456639986460465,0.058489782650915395,0.7738449909114733,0.810576745900129,0.02590153664748191,0.071405176268071,-0.011298683829311706
1,0.55,0.07985526193367108,0.03501451791427228,0.06270049648965619,0.7712592154737864,0.8084884220870954,0.015610199585527056,0.07015026188877606,-0.003474607839079491
1,0.6000000000000001,0.06590423797697349,0.029628014175532874,0.04274447946607652,0.7749146943439509,0.8090412136846631,0.016107447964464963,0.0719783323259712,-0.004597802243284599
1,0.65,0.06021460538852031,0.03367728390528718,0.04886306842248131,0.7715748357588659,0.8064615195626804,0.023879655322861244,0.06895670271348338,-0.01318291875336286
1,0.7000000000000001,0.09560700377173036,0.05341710374423062,0.09123452126115919,0.7655433868428304,0.8043731957496468,0.06775720931978807,0.09758101145246391,0.03386345763834281
1,0.75,0.10072077655110408,0.056724347313668516,0.09617486330935032,0.7679230056781242,0.8089183711074258,0.11057893152326183,0.11245388844314595,0.07062621580232603
1,0.8,0.1198083830787624,0.0736972653744825,0.13114199538229832,0.7686624936678301,0.8087955285301885,0.13847095767753975,0.12561490956831614,0.0859587765407061
