trial,thresholds,positivity_rate_differences_scores_fpr,tpr_differences_scores_fpr,fpr_differences_scores_fpr,eqodds_differences_scores_fpr,tpr_A_scores_fpr,tpr_B_scores_fpr,selection_A_scores_fpr,selection_B_scores_fpr,fpr_A_scores_fpr,fpr_B_scores_fpr,acc_A_scores_fpr,acc_B_scores_fpr,acc_overall_scores_fpr,positivity_rate_differences_scores_tpr,tpr_differences_scores_tpr,fpr_differences_scores_tpr,eqodds_differences_scores_tpr,tpr_A_scores_tpr,tpr_B_scores_tpr,selection_A_scores_tpr,selection_B_scores_tpr,fpr_A_scores_tpr,fpr_B_scores_tpr,acc_A_scores_tpr,acc_B_scores_tpr,acc_overall_scores_tpr,positivity_rate_differences_scores_eo,tpr_differences_scores_eo,fpr_differences_scores_eo,eqodds_differences_scores_eo,tpr_A_scores_eo,tpr_B_scores_eo,selection_A_scores_eo,selection_B_scores_eo,fpr_A_scores_eo,fpr_B_scores_eo,acc_A_scores_eo,acc_B_scores_eo,acc_overall_scores_eo,positivity_rate_differences_score,tpr_differences_score,fpr_differences_score,eqodds_differences_score,tpr_A_score,tpr_B_score,selection_A_score,selection_B_score,fpr_A_score,fpr_B_score,acc_A_score,acc_B_score,acc_overall_score
7,0.44,0.11419711259383186,0.0,0.020946188503595902,0.020946188503595902,1.0,1.0,0.24431137724550897,0.1301142646516771,0.040472569891215344,0.019526381387619442,0.9681252878857669,0.9826760044231478,0.9729746330078005,0.07449190761916583,-0.16131830008673032,0.014044796527926232,0.17536309661465654,0.8386816999132697,1.0,0.20460617227084293,0.1301142646516771,0.033571177915545675,0.019526381387619442,0.9392906494702902,0.9826760044231478,0.9537497696701677,0.24431137724550897,1.0,0.040472569891215344,1.0404725698912154,1.0,0.0,0.24431137724550897,0.0,0.040472569891215344,0.0,0.9681252878857669,0.8872097309251751,0.9411584055033475,0.11419711259383186,0.0,0.020946188503595902,0.020946188503595902,1.0,1.0,0.24431137724550897,0.1301142646516771,0.040472569891215344,0.019526381387619442,0.9681252878857669,0.9826760044231478,0.9729746330078005
7,0.45,0.1123554586367258,0.0,0.01818724513050528,0.01818724513050528,1.0,1.0,0.23952095808383234,0.12716549944710653,0.03438998713299801,0.01620274200249273,0.9729157070474436,0.9856247696277184,0.9771512806338677,0.07338724122539461,-0.16131830008673032,0.012221635117638279,0.17353993520436858,0.8386816999132697,1.0,0.20055274067250115,0.12716549944710653,0.02842437712013101,0.01620274200249273,0.943344081068632,0.9856247696277184,0.9574350469872858,0.23952095808383234,1.0,0.03438998713299801,1.034389987132998,1.0,0.0,0.23952095808383234,0.0,0.03438998713299801,0.0,0.9729157070474436,0.8872097309251751,0.9443523125115165,0.1123554586367258,0.0,0.01818724513050528,0.01818724513050528,1.0,1.0,0.23952095808383234,0.12716549944710653,0.03438998713299801,0.01620274200249273,0.9729157070474436,0.9856247696277184,0.9771512806338677
7,0.46,0.1084872416838047,0.0,0.012776247272316583,0.012776247272316583,1.0,1.0,0.23215108245048366,0.12366384076667895,0.02503216750497134,0.012255920232654757,0.9802855826807922,0.989126428308146,0.9832319882071126,0.07080875250830952,-0.16131830008673032,0.00844825569435425,0.16976655578108457,0.8386816999132697,1.0,0.19447259327498848,0.12366384076667895,0.020704175927009006,0.012255920232654757,0.9494242284661446,0.989126428308146,0.9626558565198697,0.23215108245048366,1.0,0.02503216750497134,1.0250321675049714,1.0,0.0,0.23215108245048366,0.0,0.02503216750497134,0.0,0.9802855826807922,0.8872097309251751,0.9492660156010073,0.1084872416838047,0.0,0.012776247272316583,0.012776247272316583,1.0,1.0,0.23215108245048366,0.12366384076667895,0.02503216750497134,0.012255920232654757,0.9802855826807922,0.989126428308146,0.9832319882071126
7,0.47000000000000003,0.10673730369649992,0.0,0.010344020877618272,0.010344020877618272,1.0,1.0,0.22892676186089359,0.12218945816439367,0.020938121417709673,0.0105941005400914,0.9835099032703823,0.9906008109104313,0.9858731036177139,0.06951943174808906,-0.16131830008673032,0.006600893026407605,0.1679191931131379,0.8386816999132697,1.0,0.19170888991248272,0.12218945816439367,0.017194993566499006,0.0105941005400914,0.9521879318286504,0.9906008109104313,0.964989865487378,0.22892676186089359,1.0,0.020938121417709673,1.0209381214177096,1.0,0.0,0.22892676186089359,0.0,0.020938121417709673,0.0,0.9835099032703823,0.8872097309251751,0.9514157607026595,0.10673730369649992,0.0,0.010344020877618272,0.010344020877618272,1.0,1.0,0.22892676186089359,0.12218945816439367,0.020938121417709673,0.0105941005400914,0.9835099032703823,0.9906008109104313,0.9858731036177139
7,0.48,0.10360566683129814,0.0,0.006078549215274221,0.006078549215274221,1.0,1.0,0.22376784891754953,0.12016218208625139,0.014387647678091005,0.008309098462816784,0.9886688162137264,0.9926280869885735,0.9899883299551625,0.06758539967330641,-0.16131830008673032,0.0038560670536178874,0.1651743671403482,0.8386816999132697,1.0,0.1877475817595578,0.12016218208625139,0.012165165516434671,0.008309098462816784,0.9561492399815753,0.9926280869885735,0.9683066150727843,0.22376784891754953,1.0,0.014387647678091005,1.014387647678091,1.0,0.0,0.22376784891754953,0.0,0.014387647678091005,0.0,0.9886688162137264,0.8872097309251751,0.9548553528653031,0.10360566683129814,0.0,0.006078549215274221,0.006078549215274221,1.0,1.0,0.22376784891754953,0.12016218208625139,0.014387647678091005,0.008309098462816784,0.9886688162137264,0.9926280869885735,0.9899883299551625
7,0.49,0.10176442034980762,0.0,0.0031098616091416215,0.0031098616091416215,1.0,1.0,0.21750345462920312,0.1157390342793955,0.006433500994268335,0.0033236393851267137,0.9949332105020727,0.9970512347954295,0.9956390885080769,0.06684963453681822,-0.16131830008673032,0.0022910523916892882,0.1636093524784196,0.8386816999132697,1.0,0.18258866881621372,0.1157390342793955,0.005614691776816002,0.0033236393851267137,0.9613081529249194,0.9970512347954295,0.973220318162275,0.21750345462920312,1.0,0.006433500994268335,1.0064335009942684,1.0,0.0,0.21750345462920312,0.0,0.006433500994268335,0.0,0.9949332105020727,0.8872097309251751,0.9590320004913703,0.10176442034980762,0.0,0.0031098616091416215,0.0031098616091416215,1.0,1.0,0.21750345462920312,0.1157390342793955,0.006433500994268335,0.0033236393851267137,0.9949332105020727,0.9970512347954295,0.9956390885080769
7,0.5,0.09964639605645098,0.0,0.0,0.0,1.0,1.0,0.2124366651312759,0.11279026907482492,0.0,0.0,1.0,1.0,1.0,0.06537647436137958,-0.16131830008673032,0.0,0.16131830008673032,0.8386816999132697,1.0,0.1781667434362045,0.11279026907482492,0.0,0.0,0.9657300783049286,1.0,0.9771512806338677,0.2124366651312759,1.0,0.0,1.0,1.0,0.0,0.2124366651312759,0.0,0.0,0.0,1.0,0.8872097309251751,0.9624101713653952,0.09964639605645098,0.0,0.0,0.0,1.0,1.0,0.2124366651312759,0.11279026907482492,0.0,0.0,1.0,1.0,1.0
7,0.51,0.09909411379401735,0.004298250089281086,0.0,0.004298250089281086,0.98959236773634,0.9852941176470589,0.2102257024412713,0.11113158864725396,0.0,0.0,0.9977890373099954,0.998341319572429,0.997973097475585,0.06482419209894595,-0.15702004999744912,0.0,0.15702004999744912,0.8282740676496098,0.9852941176470589,0.1759557807461999,0.11113158864725396,0.0,0.0,0.963519115614924,0.998341319572429,0.9751243781094527,0.2102257024412713,0.98959236773634,0.0,0.98959236773634,0.98959236773634,0.0,0.2102257024412713,0.0,0.0,0.0,0.9977890373099954,0.8872097309251751,0.960936060438548,0.09909411379401735,0.004298250089281086,0.0,0.004298250089281086,0.98959236773634,0.9852941176470589,0.2102257024412713,0.11113158864725396,0.0,0.0,0.9977890373099954,0.998341319572429,0.997973097475585
7,0.52,0.09697568202504514,0.0004577430856702591,0.0,0.0004577430856702591,0.9726799653078925,0.9722222222222222,0.20663288807001381,0.10965720604496867,0.0,0.0,0.9941962229387379,0.9968669369701437,0.9950862969105092,0.06335062444789175,-0.1578249975908258,0.0,0.1578249975908258,0.8143972246313964,0.9722222222222222,0.17300783049286042,0.10965720604496867,0.0,0.0,0.9605711653615845,0.9968669369701437,0.9726675265647073,0.20663288807001381,0.9726799653078925,0.0,0.9726799653078925,0.9726799653078925,0.0,0.20663288807001381,0.0,0.0,0.0,0.9941962229387379,0.8872097309251751,0.9585406301824212,0.09697568202504514,0.0004577430856702591,0.0,0.0004577430856702591,0.9726799653078925,0.9722222222222222,0.20663288807001381,0.10965720604496867,0.0,0.0,0.9941962229387379,0.9968669369701437,0.9950862969105092
7,0.53,0.09467402205427812,0.011083618182745725,0.0,0.011083618182745725,0.9375542064180399,0.9264705882352942,0.19917088899124827,0.10449686693697015,0.0,0.0,0.9867342238599723,0.9917065978621452,0.988391376451078,0.06224656926754389,-0.1415616550176012,0.0,0.1415616550176012,0.784908933217693,0.9264705882352942,0.16674343620451404,0.10449686693697015,0.0,0.0,0.9543067710732381,0.9917065978621452,0.9667710828573184,0.19917088899124827,0.9375542064180399,0.0,0.9375542064180399,0.9375542064180399,0.0,0.19917088899124827,0.0,0.0,0.0,0.9867342238599723,0.8872097309251751,0.9535655058043118,0.09467402205427812,0.011083618182745725,0.0,0.011083618182745725,0.9375542064180399,0.9264705882352942,0.19917088899124827,0.10449686693697015,0.0,0.0,0.9867342238599723,0.9917065978621452,0.988391376451078
