trial,thresholds,positivity_rate_differences_scores_fpr,tpr_differences_scores_fpr,fpr_differences_scores_fpr,eqodds_differences_scores_fpr,tpr_A_scores_fpr,tpr_B_scores_fpr,selection_A_scores_fpr,selection_B_scores_fpr,fpr_A_scores_fpr,fpr_B_scores_fpr,acc_A_scores_fpr,acc_B_scores_fpr,acc_overall_scores_fpr,positivity_rate_differences_scores_tpr,tpr_differences_scores_tpr,fpr_differences_scores_tpr,eqodds_differences_scores_tpr,tpr_A_scores_tpr,tpr_B_scores_tpr,selection_A_scores_tpr,selection_B_scores_tpr,fpr_A_scores_tpr,fpr_B_scores_tpr,acc_A_scores_tpr,acc_B_scores_tpr,acc_overall_scores_tpr,positivity_rate_differences_scores_eo,tpr_differences_scores_eo,fpr_differences_scores_eo,eqodds_differences_scores_eo,tpr_A_scores_eo,tpr_B_scores_eo,selection_A_scores_eo,selection_B_scores_eo,fpr_A_scores_eo,fpr_B_scores_eo,acc_A_scores_eo,acc_B_scores_eo,acc_overall_scores_eo
0,0.0,0.004171172562953851,0.0,0.0048868778280543035,0.0048868778280543035,1.0,1.0,1.0,0.9958288274370461,1.0,0.9951131221719457,0.09098639455782313,0.15062567588444306,0.12958704129587043,-0.0029136815651127357,0.0,-0.0030286124667900927,0.0030286124667900927,1.0,1.0,0.9946145124716553,0.9975281940367681,0.9940754599314,0.9971040723981901,0.0963718820861678,0.14892630928472114,0.13038696130386962,0.003887725850935664,0.0,0.0045750599297069705,0.0045750599297069705,1.0,1.0,0.9997165532879818,0.9958288274370461,0.9996881821016527,0.9951131221719457,0.09126984126984126,0.15062567588444306,0.12968703129687031
0,0.01,0.012513517688861442,0.0,0.01466063348416291,0.01466063348416291,1.0,1.0,1.0,0.9874864823111386,1.0,0.9853393665158371,0.09098639455782313,0.15896802101035068,0.134986501349865,-0.011627883554678364,0.0,-0.012184319651441289,0.012184319651441289,1.0,1.0,0.979875283446712,0.9915031670013904,0.977860929217337,0.9900452488687783,0.1111111111111111,0.15495133632009886,0.1394860513948605,0.009962497280698202,0.0,0.01185427239903658,0.01185427239903658,1.0,1.0,0.9974489795918368,0.9874864823111386,0.9971936389148737,0.9853393665158371,0.0935374149659864,0.15896802101035068,0.13588641135886412
0,0.02,0.027962304959060713,0.0,0.03276018099547506,0.03276018099547506,1.0,1.0,1.0,0.9720376950409393,1.0,0.9672398190045249,0.09098639455782313,0.17441680828054998,0.144985501449855,-0.024855644920309117,0.0,-0.025918811649290996,0.025918811649290996,1.0,1.0,0.9552154195011338,0.9800710644214429,0.9507327720611163,0.9766515837104073,0.13577097505668934,0.16638343890004634,0.15558444155584442,0.022860264142734232,0.0,0.027147458825222515,0.027147458825222515,1.0,1.0,0.9948979591836735,0.9720376950409393,0.9943872778297475,0.9672398190045249,0.09608843537414966,0.17441680828054998,0.14678532146785322
0,0.03,0.04866367990112774,0.0,0.057013574660633504,0.057013574660633504,1.0,1.0,1.0,0.9513363200988723,1.0,0.9429864253393665,0.09098639455782313,0.19511818322261704,0.1583841615838416,-0.03628323722506155,0.0,-0.03734161837722061,0.03734161837722061,1.0,1.0,0.9277210884353742,0.9640043256604357,0.9204864359214219,0.9578280542986425,0.16326530612244897,0.18245017766105362,0.17568243175682433,0.040727171964619835,0.0,0.04828267350690729,0.04828267350690729,1.0,1.0,0.9920634920634921,0.9513363200988723,0.9912690988462738,0.9429864253393665,0.09892290249433107,0.19511818322261704,0.1611838816118388
0,0.04,0.06874710335238687,0.0,0.08054298642533941,0.08054298642533941,1.0,1.0,1.0,0.9312528966476131,1.0,0.9194570135746606,0.09098639455782313,0.2152016066738761,0.1713828617138286,-0.057810167684149816,0.0,-0.06002926291046029,0.06002926291046029,1.0,1.0,0.8922902494331065,0.9501004171172563,0.8815091986280013,0.9415384615384615,0.19869614512471656,0.19635408620423297,0.19718028197180282,0.058259575007715725,0.0,0.06900572418648687,0.06900572418648687,1.0,1.0,0.9895124716553289,0.9312528966476131,0.9884627377611475,0.9194570135746606,0.10147392290249434,0.2152016066738761,0.1750824917508249
0,0.05,0.09624594469334158,0.0,0.11276018099547513,0.11276018099547513,1.0,1.0,1.0,0.9037540553066584,1.0,0.8872398190045249,0.09098639455782313,0.24270044801483084,0.18918108189181082,-0.06859690680948205,0.0,-0.0704378290137383,0.0704378290137383,1.0,1.0,0.8611111111111112,0.9297080179205932,0.8472092298097911,0.9176470588235294,0.22987528344671201,0.21674648540089603,0.22137786221377861,0.08264050251647082,0.0,0.0977929218748016,0.0977929218748016,1.0,1.0,0.9863945578231292,0.9037540553066584,0.9850327408793265,0.8872398190045249,0.10459183673469388,0.24270044801483084,0.193980601939806
0,0.06,0.12328132241619028,0.0,0.1444343891402715,0.1444343891402715,1.0,1.0,1.0,0.8767186775838097,1.0,0.8555656108597285,0.09098639455782313,0.26973582573767957,0.20667933206679331,-0.0808506238892901,0.0,-0.08262587354867112,0.08262587354867112,1.0,1.0,0.83078231292517,0.9116329368144601,0.813844714686623,0.8964705882352941,0.2602040816326531,0.2348215665070292,0.24377562243775622,0.10599107298308375,0.0,0.1254134973410822,0.1254134973410822,1.0,1.0,0.9827097505668935,0.8767186775838097,0.9809791082008107,0.8555656108597285,0.1082766439909297,0.26973582573767957,0.21277872212778723
0,0.07,0.15433338482929093,0.0,0.180814479638009,0.180814479638009,1.0,1.0,1.0,0.8456666151707091,1.0,0.819185520361991,0.09098639455782313,0.30078788815078017,0.22677732226777322,-0.09498897916445537,0.0,-0.09655586549219963,0.09655586549219963,1.0,1.0,0.7939342403628118,0.8889232195272672,0.7733083879014655,0.8698642533936651,0.29705215419501135,0.25753128379422213,0.27147285271472854,0.1336417748519667,0.0,0.15805177305865137,0.15805177305865137,1.0,1.0,0.9793083900226758,0.8456666151707091,0.9772372934206424,0.819185520361991,0.1116780045351474,0.30078788815078017,0.23407659234076592
0,0.08,0.18245017766105365,0.0,0.21375565610859726,0.21375565610859726,1.0,1.0,1.0,0.8175498223389464,1.0,0.7862443438914027,0.09098639455782313,0.3289046809825429,0.24497550244975502,-0.11211497576011709,0.0,-0.11390507473047495,0.11390507473047495,1.0,1.0,0.7559523809523809,0.868067356712498,0.7315247895229187,0.8454298642533936,0.33503401360544216,0.2783871466089912,0.2983701629837016,0.15807376042749355,0.0,0.18693931685072385,0.18693931685072385,1.0,1.0,0.9756235827664399,0.8175498223389464,0.9731836607421266,0.7862443438914027,0.11536281179138322,0.3289046809825429,0.2535746425357464
0,0.09,0.2139657036922602,0.0,0.2506787330316742,0.2506787330316742,1.0,1.0,1.0,0.7860342963077398,1.0,0.7493212669683258,0.09098639455782313,0.36042020701374944,0.2653734626537346,-0.12542851993261384,0.0,-0.1269497860308404,0.1269497860308404,1.0,1.0,0.7202380952380952,0.8456666151707091,0.6922357343311506,0.819185520361991,0.3707482993197279,0.30078788815078017,0.3254674532546745,0.1861879259144824,0.0,0.22012057899363247,0.22012057899363247,1.0,1.0,0.9722222222222222,0.7860342963077398,0.9694418459619583,0.7493212669683258,0.11876417233560091,0.36042020701374944,0.27517248275172485
0,0.1,0.2513517688861424,0.0,0.29447963800904975,0.29447963800904975,1.0,1.0,1.0,0.7486482311138576,1.0,0.7055203619909503,0.09098639455782313,0.3978062722076317,0.28957104289571045,-0.13604049684140607,0.0,-0.13664701226248577,0.13664701226248577,1.0,1.0,0.6819727891156463,0.8180132859570524,0.6501403180542563,0.7867873303167421,0.40901360544217685,0.3284412173644369,0.3568643135686431,0.21932229042809248,0.0,0.25924421549579746,0.25924421549579746,1.0,1.0,0.9679705215419501,0.7486482311138576,0.9647645774867477,0.7055203619909503,0.12301587301587301,0.3978062722076317,0.30086991300869914
0,0.11,0.28209485555383906,0.0,0.3304977375565611,0.3304977375565611,1.0,1.0,1.0,0.7179051444461609,1.0,0.6695022624434389,0.09098639455782313,0.4285493588753283,0.3094690530946905,-0.14865950242293735,0.0,-0.14881722250676188,0.14881722250676188,1.0,1.0,0.6454081632653061,0.7940676656882435,0.6099158091674463,0.7587330316742081,0.445578231292517,0.3523868376332458,0.3852614738526147,0.2475143566876259,0.0,0.2924559539581826,0.2924559539581826,1.0,1.0,0.9654195011337868,0.7179051444461609,0.9619582164016215,0.6695022624434389,0.1255668934240363,0.4285493588753283,0.32166783321667836
0,0.12,0.31500077243936353,0.0,0.36904977375565606,0.36904977375565606,1.0,1.0,1.0,0.6849992275606365,1.0,0.6309502262443439,0.09098639455782313,0.46145527576085277,0.3307669233076692,-0.15849641262344583,0.0,-0.157849557035162,0.157849557035162,1.0,1.0,0.6105442176870748,0.7690406303105206,0.5715622076707203,0.7294117647058823,0.4804421768707483,0.3774138730109686,0.41375862413758624,0.2750347860448057,0.0,0.32508345008867756,0.32508345008867756,1.0,1.0,0.9600340136054422,0.6849992275606365,0.9560336763330215,0.6309502262443439,0.13095238095238096,0.46145527576085277,0.3448655134486551
0,0.13,0.34806117719759,0.0,0.4077828054298642,0.4077828054298642,1.0,1.0,1.0,0.65193882280241,1.0,0.5922171945701358,0.09098639455782313,0.49451568051907924,0.3521647835216478,-0.1720691881469617,0.0,-0.17103587034583567,0.17103587034583567,1.0,1.0,0.572562358276644,0.7446315464236057,0.5297786092921734,0.700814479638009,0.5184240362811792,0.4018229568978835,0.44295570442955706,0.3058276171068871,0.0,0.36132193857610684,0.36132193857610684,1.0,1.0,0.9577664399092971,0.65193882280241,0.9535391331462426,0.5922171945701358,0.13321995464852607,0.49451568051907924,0.36706329367063295
0,0.14,0.37803182450177664,0.0,0.44289592760180996,0.44289592760180996,1.0,1.0,1.0,0.6219681754982234,1.0,0.55710407239819,0.09098639455782313,0.5244863278232659,0.3715628437156284,-0.18445449141085957,0.0,-0.18311465163168233,0.18311465163168233,1.0,1.0,0.5385487528344671,0.7230032442453267,0.49236046149048956,0.6754751131221719,0.552437641723356,0.42345125907616255,0.46895310468953105,0.33041277688272896,0.0,0.3905105206794526,0.3905105206794526,1.0,1.0,0.9523809523809523,0.6219681754982234,0.9476145930776426,0.55710407239819,0.13860544217687074,0.5244863278232659,0.38836116388361164
0,0.15,0.4103197898964931,0.0,0.4807239819004525,0.4807239819004525,1.0,1.0,1.0,0.5896802101035069,1.0,0.5192760180995475,0.09098639455782313,0.5567742932179824,0.39246075392460755,-0.19328525993022472,0.0,-0.19115057982608746,0.19115057982608746,1.0,1.0,0.5062358276643991,0.6995210875946238,0.45681322107888994,0.6479638009049774,0.5847505668934241,0.44693341572686546,0.49555044495550443,0.35901593502120965,0.0,0.42428494229957947,0.42428494229957947,1.0,1.0,0.9486961451247166,0.5896802101035069,0.943560960399127,0.5192760180995475,0.14229024943310659,0.5567742932179824,0.41055894410558946
0,0.16,0.4379731191101498,0.0,0.5131221719457013,0.5131221719457013,1.0,1.0,1.0,0.5620268808898502,1.0,0.48687782805429863,0.09098639455782313,0.5844276224316391,0.41035896410358963,-0.2077299636060202,0.0,-0.20568264839216255,0.20568264839216255,1.0,1.0,0.47278911564625853,0.6805190792522787,0.4200187090739008,0.6257013574660634,0.6181972789115646,0.46593542406921057,0.5196480351964804,0.38355135040266686,0.0,0.4532531354630072,0.4532531354630072,1.0,1.0,0.9455782312925171,0.5620268808898502,0.9401309635173059,0.48687782805429863,0.14540816326530612,0.5844276224316391,0.42955704429557046
0,0.17,0.46948864514135635,0.0,0.5500452488687783,0.5500452488687783,1.0,1.0,1.0,0.5305113548586436,1.0,0.44995475113122174,0.09098639455782313,0.6159431484628457,0.43075692430756923,-0.21488558088666232,0.0,-0.21189784224836228,0.21189784224836228,1.0,1.0,0.44246031746031744,0.6573458983469798,0.38665419395073275,0.598552036199095,0.6485260770975056,0.4891086049745095,0.5453454654534546,0.4119489626016738,0.0,0.4867462155042631,0.4867462155042631,1.0,1.0,0.9424603174603174,0.5305113548586436,0.9367009666354849,0.44995475113122174,0.14852607709750568,0.6159431484628457,0.4510548945105489
0,0.18,0.49497914413718525,0.0,0.5799095022624434,0.5799095022624434,1.0,1.0,1.0,0.5050208558628148,1.0,0.4200904977375566,0.09098639455782313,0.6414336474586745,0.44725527447255276,-0.22250203444063654,0.0,-0.21889610820222166,0.21889610820222166,1.0,1.0,0.4155328798185941,0.6380349142592306,0.35703149360773306,0.5759276018099547,0.675453514739229,0.5084195890622586,0.5673432656734326,0.4337546543412669,0.0,0.5125568362194125,0.5125568362194125,1.0,1.0,0.9387755102040817,0.5050208558628148,0.9326473339569691,0.4200904977375566,0.1522108843537415,0.6414336474586745,0.46885311468853114
0,0.19,-0.47891240537617796,-1.0,-0.38950226244343894,1.389502262443439,0.0,1.0,0.0,0.47891240537617796,0.0,0.38950226244343894,0.9090136054421769,0.6675420979453113,0.7527247275272473,-0.22921708979178462,0.0,-0.22485857435728124,0.22485857435728124,1.0,1.0,0.3888888888888889,0.6181059786806735,0.32772061116308077,0.552579185520362,0.7020975056689343,0.5283485246408157,0.5896410358964104,-0.43554505843740243,-0.8940809968847352,-0.3523959325401025,1.2464769294248377,0.1059190031152648,1.0,0.04336734693877551,0.47891240537617796,0.037106329903336455,0.38950226244343894,0.8849206349206349,0.6675420979453113,0.7442255774422558
0,0.2,-0.45991039703383285,-1.0,-0.3672398190045249,1.367239819004525,0.0,1.0,0.0,0.45991039703383285,0.0,0.3672398190045249,0.9090136054421769,0.6865441062876564,0.765023497650235,-0.23698409020130012,0.0,-0.23239796429473425,0.23239796429473425,1.0,1.0,0.36706349206349204,0.6040475822647922,0.30371063299033363,0.5361085972850679,0.7239229024943311,0.5424069210566971,0.6064393560643936,-0.4190940705032206,-0.8940809968847352,-0.3329398501863147,1.22702084707105,0.1059190031152648,1.0,0.04081632653061224,0.45991039703383285,0.034299968818210166,0.3672398190045249,0.8874716553287982,0.6865441062876564,0.7574242575742426
