trial,pr_diff_avg,pr_diff_05,pr_diff_worst,tpr_diff_avg,tpr_diff_05,tpr_diff_worst,eo_diff_avg,eo_diff_05,eo_diff_worst,acc_avg,acc_05,acc_worst,alg
0.0,0.045601800348319614,0.0507420573344212,0.1099433815909454,0.03815510417021077,0.0646966758531523,0.0942748914066664,0.07341085743179226,0.09261925050550306,0.14397177603027447,0.7296699669966994,0.8243333333333334,0.2218333333333333,uncorrected
1.0,0.05225569980128186,0.0542240911803823,0.1168748541980361,0.046763317337232505,0.0580929936782254,0.1000074813900422,0.0859526587010283,0.090426039419528,0.1729834237772723,0.7247244224422443,0.816,0.2306666666666666,uncorrected
2.0,0.0327541314552225,0.0514618927964959,0.0654688702133562,0.03838505588462636,0.0897791570665036,0.1132427391420197,0.06257346618405142,0.11840953008448518,0.15007549659090463,0.7216188118811881,0.8168333333333333,0.228,uncorrected
3.0,0.04274217531643272,0.0549816849816849,0.0903296703296703,0.04696384046510751,0.1046450048839043,0.1046450048839043,0.08068475153742959,0.13550167730899143,0.15466942138241435,0.7292788778877886,0.8275,0.2148333333333333,uncorrected
4.0,0.04289619538538518,0.0508402397157177,0.0994343200501111,0.04252298548390864,0.0677875161028252,0.083947286499948,0.07415772712382172,0.09794423396238279,0.1655008602484157,0.7240016501650166,0.8146666666666667,0.233,uncorrected
5.0,0.04343478051694192,0.0503187049178118,0.0963591199716529,0.02573136631927804,0.0382208987375857,0.0748393602922929,0.06114816482655474,0.07271674239753662,0.12842571057906668,0.7243514851485148,0.8176666666666667,0.2316666666666666,uncorrected
6.0,0.039602380898895284,0.0474274437511817,0.0908075723199092,0.035544426527329226,0.0484227561634538,0.0965557745265658,0.06316544004403232,0.07600148814509528,0.1484835608534669,0.722158415841584,0.8095,0.2348333333333333,uncorrected
7.0,0.040652217229028655,0.0437538081470771,0.1107141653054653,0.027945910540996186,0.0520180400550374,0.0620590997444689,0.0665779781236188,0.08554223600137673,0.1524934897641902,0.725212871287129,0.8145,0.2211666666666666,uncorrected
8.0,0.034234104707555536,0.0401681406267059,0.0811333114968883,0.03597278034882265,0.0473377962094739,0.0917436791399013,0.057992043281493336,0.06781450253764379,0.14477554479439947,0.7254108910891087,0.8205,0.2296666666666666,uncorrected
9.0,0.04716578076680697,0.0694848991094694,0.0868070148580317,0.054272410189804825,0.1214627727521214,0.1214627727521214,0.08373345140189827,0.15487465817350782,0.15487465817350782,0.7257161716171615,0.8155,0.2256666666666666,uncorrected
0.0,0.0018067605207476602,0.0019401148767642,0.0125869528372716,0.028115210724910356,0.0510955734748732,0.0579826023839497,0.0358079200007556,0.05963507648204286,0.07474142591614324,0.7253976897689768,0.8221666666666667,0.2193333333333333,full_corr
1.0,0.0019719129736592974,0.0032902011991359,0.0096142951062043,0.031115545624812686,0.0529121310739535,0.0789660718961582,0.03904476001237258,0.05545106227070889,0.08185786749379603,0.7198300330033001,0.8131666666666667,0.2265,full_corr
2.0,0.0021904492347461653,1.4265728211310114e-05,0.0096967598103936,0.020983485003881915,0.0338082475196313,0.0663469224620303,0.02803034729421735,0.03736845534445211,0.07346110835085849,0.71793399339934,0.815,0.225,full_corr
3.0,0.0022797664381822304,0.0026739926739926,0.0143223443223443,0.01628216674067576,0.0450378355477621,0.0627493439092418,0.0210545876927318,0.04776260490874729,0.0654401645651771,0.7252640264026401,0.8275,0.2116666666666666,full_corr
4.0,0.0020960496059180254,0.0003522142048574,0.0120406208984417,0.021136940087203602,0.0539207374018329,0.0661019394255372,0.02789457144292106,0.054996512539474095,0.06631806035666826,0.719917491749175,0.8133333333333334,0.2305,full_corr
5.0,0.002100607627075608,0.0020950801487423,0.0150206285094777,0.0427356747364344,0.0839022381321971,0.0893035338095766,0.046961730338947086,0.0846540554192513,0.09436347760115492,0.7204834983498347,0.815,0.2278333333333333,full_corr
6.0,0.001966532444509287,0.003025146530535,0.0091108905275099,0.01750666550712962,0.0524608136150663,0.062998394695971,0.026983146994993167,0.05489243769078973,0.06942282505729026,0.717739273927393,0.8091666666666667,0.2315,full_corr
7.0,0.0017467060868753318,0.0015388945269688,0.0085522371505115,0.028474023172732402,0.0417858780876668,0.054573350514338,0.03200565611979835,0.04282855590140232,0.0596688797440861,0.7218432343234324,0.8141666666666667,0.2181666666666666,full_corr
8.0,0.0022932591326606817,0.0013429413691451,0.0108054008807366,0.020909621070601077,0.0496461804201259,0.0555763398578353,0.029786302279056324,0.05658955369075886,0.05947049313536479,0.7214983498349835,0.8208333333333333,0.2246666666666666,full_corr
9.0,0.0023138093663761703,0.0002950767459119,0.0137656199611932,0.02009654485987245,0.0508102554522953,0.0553539493600643,0.030979861929966015,0.060178506706871096,0.070094136464762,0.7203102310231023,0.8116666666666666,0.2216666666666666,full_corr
0.0,0.015480898934776843,0.0203554656513642,0.0514185351254137,0.012510003679759577,0.0025886609279484,0.0307038435802343,0.020316595923514525,0.008571191633862406,0.05563933224261336,0.7254834983498349,0.8216666666666667,0.2193333333333333,ours_tpr
1.0,0.016871629569287637,0.0193358398647563,0.0467293400510799,0.00860933921918726,0.0179366326263419,0.036958066808813,0.016804585847929637,0.026302648064995937,0.046361027327360534,0.7202986798679866,0.8146666666666667,0.2265,ours_tpr
2.0,0.011106407604029544,0.015406002624894,0.0270492964536383,0.017935409001472818,0.000893402924719,0.0497876208836852,0.023832620765472257,0.008193275877790465,0.059829995314817794,0.7186501650165017,0.8148333333333333,0.225,ours_tpr
