trial,pr,tpr,eo,acc
0.0,0.9500000000000001,0.9500000000000001,0.9500000000000001,1.0
1.0,0.15000000000000002,0.5,0.15000000000000002,0.65
2.0,0.30000000000000004,0.9500000000000001,0.30000000000000004,0.8
3.0,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.45
4.0,0.45,0.4,0.45,0.9
5.0,0.6000000000000001,0.2,0.2,0.9
6.0,1.0,0.8500000000000001,0.8500000000000001,0.25
7.0,1.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
8.0,0.65,0.8,0.8,0.45
9.0,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.45
