positivity_rate_differences,tpr_differences,fpr_differences,eqodds_differences,tpr_A,tpr_B,selection_A,selection_B,fpr_A,fpr_B,acc_A,acc_B,acc_overall,adjust_weight,trial,abs_fpr,abs_pos,abs_tpr,thresholds
0.20534210095831182,0.12566336954467316,0.1189940106424818,0.24465738018715497,0.6179808877928484,0.49231751824817516,0.32642178716805575,0.12107968620974402,0.19271840542832908,0.07372439478584732,0.7614770304322543,0.8949194880264243,0.8041096161456275,0.0,0,0.1189940106424818,0.20534210095831182,0.12566336954467316,0.5099999999999999
0.19424191070770316,0.11647515458071951,0.10767830461063647,0.2310098947227262,0.6177342786683108,0.5012591240875912,0.3262609032758286,0.13201899256812552,0.19259683347469608,0.0849185288640596,0.7614828455126963,0.8860033030553259,0.8012650046168054,0.01,0,0.11430217153696835,0.19877091720289033,0.11670772318575785,0.5099999999999999
0.19375541592390874,0.11562930328422151,0.10729866274009948,0.22978440155569121,0.6172533908754624,0.5016240875912409,0.32596433417328935,0.1322089182493807,0.1923847893695222,0.08508612662942273,0.7614770304322542,0.8858959537572253,0.8012267510882469,0.02,0,0.11392252966643135,0.19828442241909588,0.1158618718892599,0.5099999999999999
0.19300913606279838,0.11437015669579775,0.10665846328438551,0.22788505551155347,0.6167971639950679,0.50242700729927,0.3256309362279511,0.13262180016515276,0.19210771840542834,0.08544925512104282,0.7615235510757898,0.8856647398843929,0.8011845402981138,0.03,0,0.11328233021071737,0.19753814255798557,0.11460272530083615,0.5099999999999999
0.19090497889652408,0.11042729080975998,0.10485755729929257,0.2221412836404227,0.6162484586929717,0.5058211678832116,0.32528978484202353,0.1343848059454996,0.1918617472434266,0.08700418994413407,0.7615196743554953,0.8846696944673821,0.8008640021105395,0.04,0,0.11148142422562442,0.19543398539171125,0.11065985941479835,0.5099999999999999
0.1896319748752671,0.10824241496935386,0.10376111948231229,0.21885996998303636,0.6157059186189889,0.507463503649635,0.32492924985462296,0.13529727497935592,0.19158467627933273,0.08782355679702049,0.7615390579569684,0.8841288191577207,0.8007043925603483,0.05,0,0.11038498640864415,0.19416098137045423,0.10847498357439223,0.5099999999999999
0.18831650059887486,0.10649500031501168,0.10256874454095018,0.21592018038733204,0.6151263871763256,0.5086313868613138,0.3245551463461911,0.13623864574731628,0.1913047780605032,0.08873603351955307,0.7615487497577051,0.8834516928158545,0.8004946576968738,0.06,0,0.10919261146728201,0.192845507094062,0.10672756892005003,0.5099999999999999
0.18560451626709934,0.10126481679822154,0.10054595434062577,0.2086672066702175,0.6129254007398275,0.5116605839416059,0.3234657879433999,0.13786127167630058,0.19072519083969464,0.09017923649906891,0.7612541190153131,0.8825144508670517,0.7999947236512333,0.07,0,0.10716982126695763,0.19013352276228648,0.10149738540325992,0.5099999999999999
0.1840026856932215,0.09856354685123352,0.09920872997821911,0.20462871236082283,0.6119759556103577,0.5134124087591241,0.3228920333397946,0.1388893476465731,0.1903237206672321,0.09111499068901303,0.7612308586935455,0.8818827415359205,0.7997770742646089,0.08,0,0.10583259690455096,0.18853169218840865,0.09879611545627189,0.5099999999999999
0.18245243454673182,0.09594390992466723,0.09787716012528373,0.20067750558132116,0.6112176325524046,0.5152737226277372,0.3223822446210506,0.13992981007431876,0.1899279050042409,0.09205074487895719,0.7612638108160498,0.8812634186622624,0.7996016356681176,0.09,0,0.10450102705161558,0.18698144104191902,0.0961764785297056,0.5099999999999999
0.18023211582654253,0.09201310448486594,0.0960050436487065,0.19487458366494267,0.6102065351418002,0.5181934306569342,0.321763907734057,0.14153179190751444,0.18948968052021486,0.09348463687150839,0.7612463655747239,0.8803220478943021,0.7992890120036934,0.1,0,0.10262891057503834,0.1847611223217297,0.0922456730899043,0.5099999999999999
0.17869180857965258,0.08984325920059043,0.09463739865713298,0.19133709338909363,0.6094235511713935,0.5195802919708029,0.321259934095755,0.1425681255161024,0.18911365564037316,0.09447625698324022,0.7612579957356078,0.8795995045417009,0.7990660862683023,0.11,0,0.10126126558346484,0.18322081507483975,0.0900758278056288,0.5099999999999999
0.1770815635059445,0.08735678220094144,0.09323816422717231,0.187451381959484,0.6086159062885328,0.5212591240875912,0.3207520837371583,0.14367052023121388,0.18874328527000278,0.09550512104283053,0.7612579957356077,0.8788769611890996,0.7988352460097613,0.12,0,0.09986203115350416,0.18161057000113168,0.0875893508059798,0.5099999999999999
0.17472038874765125,0.08295395429630896,0.09140558983009621,0.1812159796577754,0.6068773119605426,0.5239233576642335,0.31982360922659436,0.14510322047894303,0.18818631608707942,0.09678072625698324,0.7610932351230859,0.8780470685383978,0.7984579870729455,0.13,0,0.09802945675642807,0.1792493952428384,0.08318652290134734,0.5099999999999999
0.17276032568932234,0.07961546077204858,0.08979199341992,0.17626388972333878,0.6055826140567202,0.5259671532846715,0.31904438844737354,0.14628406275805123,0.18764348317783433,0.09785148975791433,0.7610583446404343,0.8773286540049543,0.7982047223321462,0.14,0,0.09641586034625185,0.17728933218450948,0.07984802937708696,0.5099999999999999
0.17100623300433498,0.07666488160061923,0.08831027896633042,0.17183159609831986,0.6046393341553639,0.5279744525547445,0.31846288040317894,0.14745664739884393,0.18722787673169353,0.09891759776536312,0.7610467144795504,0.8766102394715108,0.7979672866376468,0.15,0,0.09493414589266226,0.17553523949952216,0.07689745020565761,0.5099999999999999
